# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=28, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.018232848328118993,0.00040120689111830315,0.0004367223365191995,6.960598614304096e-6,8.239577465961847e-6,0.030737721126234692,1.0780294528547051e-7,0.0008455713054846635,1.2658233863067098e-7,0.0007695478142263702,0.021867469434813113,0.0004903358447414591,0.0005316829551790293,8.263190066620954e-6,0.03135200333905101,1.0215175030824815e-5,1.2085874345078988e-7,0.000850907645477073,0.0007475916075699524,1.505890999734481e-7,0.02141087572582034,0.000438778203211483,0.000438778203211483,6.800827072207342e-6,6.800827072207342e-6,0.0268229591694722
0.1,0.036467570334608714,0.001600415433484362,0.0017421142657956645,5.565722129675136e-5,6.589483075864316e-5,0.06139580443419867,1.7236873219571195e-6,0.003365319265540193,2.0243248311007717e-6,0.003063071505557567,0.04372595125996026,0.0019572061882669116,0.002122503594011104,6.605997694882819e-5,0.06260361210625681,8.168289214279681e-5,1.932101655948825e-6,0.003389168298411949,0.0029780827674014887,2.4079449028437633e-6,0.042796312214692586,0.0017418935875412227,0.0017418935875412227,5.436999989887208e-5,5.436999989887208e-5,0.05355213682594874
0.15000000000000002,0.054705763089089775,0.003598239222984508,0.003917827312943327,0.00018768766709232216,0.00022227178189909805,0.09189433255084475,8.7170865541121e-6,0.007553710078977229,1.0240364842313587e-5,0.006877505135719965,0.06556616921480744,0.004399119876335092,0.0047723523595577825,0.00022269601684236464,0.093654318580469,0.00027546237820187745,9.768430939169244e-6,0.007605709036828618,0.00668566854680056,1.2178603253015598e-5,0.06413088174988123,0.003912514985525929,0.003912514985525929,0.0001832928192639603,0.0001832928192639603,0.0800940298781953
0.2,0.0729485643249678,0.006391839314172291,0.0069621341836849215,0.00044437212964823253,0.000526453067309866,0.1221529923460965,2.751035343189252e-5,0.013388977866438235,3.2330185530424944e-5,0.012195981764250007,0.08737838428528837,0.007810548690216345,0.008477500483913969,0.0005270208833867492,0.12440355674192853,0.000652221651843716,3.0816686299669694e-5,0.013475958870582026,0.011852046490988496,3.843908041409289e-5,0.08538927320540556,0.006944097636557816,0.006944097636557816,0.00043378896648109443,0.00043378896648109443,0.10635580891272052
0.25,0.09119639206862806,0.009977571017103561,0.010872951286742556,0.0008666112708029044,0.001027176223962777,0.15209083769685702,6.703860544662719e-5,0.020841918348411113,7.882224007874796e-5,0.01899595488985034,0.10915212745594192,0.012184015313090001,0.01323295177790662,0.0010271992440347463,0.15475063079422396,0.0012720307048138882,7.50594865455197e-5,0.02096654806856604,0.01845238098361403,9.368349940636144e-5,0.10654631070306168,0.010828715235807583,0.010828715235807583,0.0008455307979755619,0.0008455307979755619,0.13224560434603597
0.30000000000000004,0.10944871311304932,0.014350689580678866,0.01564745262481811,0.0014947407589175048,0.0017727000686090471,0.18162611542849966,0.00013869330222990878,0.02987511541587016,0.0001631669027646556,0.027248362139884998,0.13087596851352554,0.01750986408773941,0.01903210009458569,0.0017704813204792982,0.1845947059609162,0.0021941413831101228,0.00015519658780178248,0.03003479436908005,0.026454694949459054,0.00019384863482136468,0.12757699881185958,0.015556363660056353,0.015556363660056353,0.001457463000379274,0.001457463000379274,0.1576728245554974
0.35000000000000003,0.12770381500305927,0.019505243232866655,0.02128188668580149,0.0023683812126412446,0.0028106555180938252,0.2106761162216295,0.0002562493769413477,0.04044283556048857,0.0003016682759608005,0.03691738103507336,0.15253729072538066,0.023776180755697148,0.025866536706809294,0.002802972468095477,0.21383482148627003,0.0034767499527147785,0.00028654423942269734,0.04062871397235802,0.03581969903954689,0.00035821480883655484,0.14845656144661096,0.021114898909725822,0.021114898909725822,0.0023076239882030654,0.0023076239882030654,0.18254846451527834
0.4,0.14595858529110625,0.02543397094267069,0.027771385621051546,0.003526282722245154,0.004187877478455296,0.23915706085162516,0.0004357757215041499,0.05249099294225309,0.0005133970246523886,0.04796022127470292,0.174122076158309,0.030968717708287224,0.03372584270219523,0.004169401927132987,0.24236993541773924,0.005176738696764155,0.00048691291144567554,0.05268710558128382,0.04650065168947122,0.0006092806976595119,0.1691604767548079,0.02749004040445204,0.02749004040445204,0.0034329694476007686,0.0034329694476007686,0.20678540744106486
0.45,0.1642083005497211,0.03212819088067276,0.03510975069483344,0.005006163323491933,0.005950214809208144,0.26698402948049593,0.0006955288307390528,0.06595713935997917,0.0008200821133651025,0.060326912873035876,0.19561470474099804,0.039070814220157984,0.04259735497275583,0.005912890959102298,0.2700990078961968,0.00734939337955856,0.0007764638772337287,0.06613967256123343,0.0584432215329574,0.0009726098082996143,0.18966450795375453,0.034665390694722124,0.034665390694722124,0.004869198406970157,0.004869198406970157,0.23029871905665078
