# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=28, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

Baryon Type, occ, j, l, Energy(MeV)
proton, 1.0, 0.5, 0, -39.384857177734375
proton, 1.0, 1.5, 1, -31.313690185546875
proton, 1.0, 0.5, 1, -28.191757202148438
proton, 1.0, 2.5, 2, -21.859695434570312
proton, 1.0, 1.5, 2, -15.434066772460938
proton, 1.0, 0.5, 0, -14.803657531738281
proton, 0.0, 3.5, 3, -11.356040954589844
proton, 0.0, 1.5, 1, -3.312559127807617
proton, 0.0, 2.5, 3, -1.7695493698120117
proton, 0.0, 0.5, 1, -1.2843961715698242
neutron, 1.0, 0.5, 0, -40.457122802734375
neutron, 1.0, 1.5, 1, -30.769317626953125
neutron, 1.0, 0.5, 1, -28.683151245117188
neutron, 1.0, 2.5, 2, -20.538711547851562
neutron, 1.0, 0.5, 0, -15.560501098632812
neutron, 1.0, 1.5, 2, -15.235206604003906
neutron, 1.0, 3.5, 3, -10.019035339355469
neutron, 0.0, 1.5, 1, -4.937892913818359
neutron, 0.0, 0.5, 1, -3.096414566040039
neutron, 0.0, 2.5, 3, -1.4051504135131836
lambda, 0.0, 0.5, 0, -21.954330444335938
lambda, 0.0, 0.5, 1, -13.279472351074219
lambda, 0.0, 1.5, 1, -13.279472351074219
lambda, 0.0, 1.5, 2, -4.016788482666016
lambda, 0.0, 2.5, 2, -4.016788482666016
lambda, 0.0, 0.5, 0, -2.4426937103271484
