# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=20, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rhop,dRhop,LapRhop,Jp,DivJp,Rhon,dRhon,LapRhon,Jn,DivJn,Rhol,dRhol,LapRhol,Jl,DivJl,RhoN,dRhoN,LapRhoN,JN,DivJN
0.0,0.0879392477984084,-6.938893903907228e-17,-0.04222673847055832,0.0,-0.0035302395726643783,0.09329103286676615,5.204170427930421e-17,-0.05254180733092895,0.0,-0.0033363985673589584,0.0,0.0,0.0,0.0,0.0,0.18123028066517455,-1.734723475976807e-17,-0.09476854580148728,0.0,-0.006866638140023336
0.05,0.08792174527544272,-0.0007084661633984836,-0.04273311036456402,-5.876348495376603e-5,-0.003521505865921826,0.09326921261980396,-0.0008791605766243944,-0.052913573639074354,-5.5594494711028704e-5,-0.0033340533836228774,0.0,0.0,0.0,0.0,0.0,0.1811909578952467,-0.001587626740022878,-0.09564668400363838,-0.00011435797966479472,-0.006855559249544703
0.1,0.08786839342944323,-0.0014199363397017495,-0.04241384343488808,-0.00011748879666724773,-0.003542727885966379,0.09320313710751135,-0.001759357135912628,-0.052598717091703606,-0.00011145521372453964,-0.0033667417701022545,0.0,0.0,0.0,0.0,0.0,0.18107153053695457,-0.0031792934756143774,-0.09501256052659168,-0.00022894401039178736,-0.006909469656068633
0.15000000000000002,0.08777999002176051,-0.0021148458147835815,-0.04197513765575438,-0.00017856700772150472,-0.00362992933697962,0.09309354289174024,-0.0026218724651473797,-0.052032642875271415,-0.00016988305797625066,-0.0034646175266478665,0.0,0.0,0.0,0.0,0.0,0.18087353291350075,-0.004736718279930961,-0.09400778053102579,-0.0003484500656977554,-0.0070945468636274866
0.2,0.08765716757277177,-0.0027949599514574125,-0.04135833961898469,-0.0002426570105690549,-0.003744672356176395,0.09294128932380394,-0.0034643765339633682,-0.05124775913592834,-0.00023172600875489836,-0.003595409937659658,0.0,0.0,0.0,0.0,0.0,0.18059845689657572,-0.006259336485420781,-0.09260609875491303,-0.00047438301932395323,-0.007340082293836053
0.25,0.08750084591094116,-0.0034539310744298966,-0.04056352058838468,-0.00031068765575248885,-0.0038917876529620567,0.09274755382923307,-0.004279993830897388,-0.050238249482499886,-0.0002980548027751836,-0.003763052880117663,0.0,0.0,0.0,0.0,0.0,0.18024839974017423,-0.007733924905327285,-0.09080177007088457,-0.0006087424585276724,-0.00765484053307972
0.30000000000000004,0.08731221651376288,-0.0040863736315096405,-0.03959020154235179,-0.00038359263062361315,-0.004070249263022135,0.09251385052783206,-0.0050619680196766804,-0.049004880556269975,-0.0003699392620495982,-0.003966522112818323,0.0,0.0,0.0,0.0,0.0,0.17982606704159493,-0.009148341651186321,-0.08859508209862177,-0.0007535318926732114,-0.008036771375840458
0.35000000000000003,0.08709274019434739,-0.004686911766210566,-0.038438360626510806,-0.0004622801239926827,-0.004279051548047709,0.09224202882250367,-0.0058036195875119274,-0.04754923263058468,-0.0004484204095841326,-0.004204736094906066,0.0,0.0,0.0,0.0,0.0,0.17933476901685105,-0.010490531353722493,-0.08598759325709548,-0.0009107005335768153,-0.008483787642953775
0.4,0.08684414601892738,-0.005250197417747838,-0.037108829948421115,-0.0005476177211717775,-0.004516876947818788,0.09193427008177477,-0.00649835615233069,-0.04587409256041697,-0.0005344946437338896,-0.004476258332070516,0.0,0.0,0.0,0.0,0.0,0.17877841610070216,-0.011748553570078528,-0.08298292250883808,-0.001082112364905667,-0.008993135279889306
0.45,0.08656842901198353,-0.005770948661160333,-0.03560370893738313,-0.0006404178764269481,-0.004782020544726611,0.09159308201328184,-0.007139727742638009,-0.04398394872741139,-0.0006290976035943296,-0.004779212658537483,0.0,0.0,0.0,0.0,0.0,0.17816151102526537,-0.012910676403798341,-0.07958765766479452,-0.0012695154800212776,-0.009561233203264094
0.5,0.08626784550550078,-0.006244005932371493,-0.03392676391782673,-0.0007414216449217954,-0.005072323487079588,0.09122128974545587,-0.007721501326508288,-0.041885431442161,-0.0007330857460905331,-0.005111205448187217,0.0,0.0,0.0,0.0,0.0,0.17748913525095666,-0.01396550725887978,-0.07581219535998773,-0.0014745073910123283,-0.010183528935266806
0.55,0.08594490528363073,-0.006664404079266498,-0.03208382452543935,-0.0008512801909620539,-0.005385108886412474,0.09082202277753532,-0.008237751680948424,-0.03958774521103204,-0.0008472152428996695,-0.005469250627675655,0.0,0.0,0.0,0.0,0.0,0.17676692806116606,-0.014902155760214923,-0.07167156973647139,-0.0016984954338617234,-0.010854359514088129
0.6000000000000001,0.08560235975152794,-0.007027459162574148,-0.030083158047269673,-0.0009705340930171802,-0.005717123164890106,0.09039869699170751,-0.008682967813856916,-0.037103070535904274,-0.0009721182798815572,-0.005849701325080697,0.0,0.0,0.0,0.0,0.0,0.17600105674323546,-0.015710426976431064,-0.06718622858317394,-0.0019426523728987375,-0.011566824489970803
0.65,0.08524318542776076,-0.0073288684050709825,-0.027935802915720665,-0.0010995907278052049,-0.006064487025079537,0.089954990991864,-0.009052173095847795,-0.03444691297233631,-0.0011082771181891349,-0.006248193098570215,0.0,0.0,0.0,0.0,0.0,0.17519817641962476,-0.016381041500918778,-0.06238271588805698,-0.0022078678459943398,-0.012312680123649753
