# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=20, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

Baryon Type, occ, j, l, Energy(MeV)
proton, 1.0, 0.5, 0, -32.848419189453125
proton, 1.0, 1.5, 1, -24.190444946289062
proton, 1.0, 0.5, 1, -20.450820922851562
proton, 1.0, 2.5, 2, -14.348670959472656
proton, 1.0, 0.5, 0, -7.878547668457031
proton, 1.0, 1.5, 2, -7.268886566162109
proton, 0.0, 3.5, 3, -3.644643783569336
neutron, 1.0, 0.5, 0, -41.048004150390625
neutron, 1.0, 1.5, 1, -32.201019287109375
neutron, 1.0, 0.5, 1, -28.384780883789062
neutron, 1.0, 2.5, 2, -22.169082641601562
neutron, 1.0, 0.5, 0, -15.689010620117188
neutron, 1.0, 1.5, 2, -14.922691345214844
neutron, 0.0, 3.5, 3, -11.242546081542969
neutron, 0.0, 1.5, 1, -4.534313201904297
neutron, 0.0, 0.5, 1, -2.341554641723633
neutron, 0.0, 2.5, 3, -1.2432661056518555
lambda, 0.0, 0.5, 0, -20.947525024414062
lambda, 0.0, 0.5, 1, -11.612922668457031
lambda, 0.0, 1.5, 1, -11.612922668457031
lambda, 0.0, 1.5, 2, -2.111166000366211
lambda, 0.0, 2.5, 2, -2.111166000366211
lambda, 0.0, 0.5, 0, -1.2452974319458008
