# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=20, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.020330565617240386,0.0004578210720924318,0.00048232264499822235,8.047049017826108e-6,0.031098029843848577,8.862500516764928e-6,1.2469731460907815e-7,0.020895112556012656,0.00047567052577945576,0.0004980452923060584,8.451841583168723e-6,0.032058737900804886,9.301322594899886e-6,1.3282225160212074e-7,0.0008756931866571063,0.0007446270122794836,1.3379461742516914e-7,0.023120322300469395,0.00047971157554845055,0.00047971157554845055,7.2119417110005655e-6,7.2119417110005655e-6,0.024615695156674926
0.1,0.04065923915236085,0.0018257505882830992,0.0019234907004650862,6.433897814018162e-5,0.06210773901560542,7.087356971799284e-5,1.993643410654877e-6,0.041786865000583824,0.001898362252910567,0.0019877189257062927,6.757227522427654e-5,0.06402187424507595,7.438107609456474e-5,2.1234312215411286e-6,0.0034868544180011265,0.002965460095843776,2.1395668929474483e-6,0.04620927530991012,0.0019036140806512369,0.0019036140806512369,5.7653886288017205e-5,5.7653886288017205e-5,0.04914101749217638
0.15000000000000002,0.060983767508076756,0.004104155457088909,0.004325177764219528,0.00021693309897570612,0.09294048103798803,0.000239048761346016,1.0080973462085389e-5,0.062671507533934,0.004267398652003586,0.00446976910841305,0.000227817098891619,0.09579347536459949,0.00025086924054416393,1.0736355631316796e-5,0.007825145064870379,0.0066579330983852,1.0822556961619075e-5,0.06923550895368258,0.00427514175869013,0.00427514175869013,0.00019434765443853032,0.00019434765443853032,0.07348587266519727
0.2,0.0813012732480186,0.00728891293715439,0.007684819278825486,0.000513510076206043,0.12350711324419648,0.0005661325246119821,3.1808747684329446e-5,0.08354466002793765,0.00757821337325869,0.007941451079067855,0.000539215192114682,0.12727717818465042,0.0005940935879223239,3.387275570321332e-5,0.013865771866085546,0.011804799417247255,3.416478154531374e-5,0.09216783339728807,0.0075864544401860814,0.0075864544401860814,0.0004598993240691545,0.0004598993240691545,0.09756085253724077
0.25,0.10160791868019357,0.01137464850011174,0.011999213929123356,0.0010011815242480582,0.1537177269942449,0.001104450324272175,7.749458124076263e-5,0.1044009544731249,0.01182467841364103,0.012399163397394518,0.0010511514439743859,0.15837592526336136,0.0011589155309256554,8.251078672057089e-5,0.021575130072599508,0.018382739709558372,8.328403820260285e-5,0.11497524831190369,0.011827998482305653,0.011827998482305653,0.0008962928224715943,0.0008962928224715943,0.1212775228860224
0.30000000000000004,0.12189860625762627,0.016354369855640448,0.017264053680216933,0.001726293094344372,0.18348145042424055,0.0019057462041194594,0.0001602780818953432,0.1252337294241389,0.016998817410604293,0.01783805370719869,0.0018121457395038336,0.18899179669177654,0.0019995506558440792,0.00017062199544369688,0.03091013950456888,0.02636163555838246,0.0001723746744123761,0.13762700774569142,0.016987712581893147,0.016987712581893147,0.0015446853322217925,0.0015446853322217925,0.14454874747430602
0.35000000000000003,0.14216669275043314,0.022219330776333552,0.0234736959179214,0.00273422185151578,0.21270629415590744,0.0030210015835023412,0.0002960259030395155,0.146034738179693,0.023090680322427105,0.02425179221476382,0.002869627005487475,0.21902588505738418,0.0031693694780629386,0.00031506369043448614,0.04181816774720564,0.03570432035492247,0.00031862837346221764,0.16009267782633002,0.023050962487531516,0.023050962487531516,0.0024452050414475296,0.0024452050414475296,0.16728900249684495
0.4,0.16240372297231412,0.028958902218032444,0.030620927577102035,0.004069167164880317,0.24129905295363344,0.00450023155205828,0.0005032152238927766,0.16679387785498048,0.030088219394666493,0.031632328806593925,0.004269701746788606,0.24837822850885477,0.004720674534622528,0.0005354472677253248,0.05423702495305545,0.04636635713135859,0.0005421328232020031,0.1823421904239117,0.030000552162260725,0.030000552162260725,0.003636751807420257,0.003636751807420257,0.1894146842455483
0.45,0.18259918728697,0.03656043491740683,0.03869670381432768,0.00577393472194109,0.2691652730832502,0.006392255574953645,0.0008027955197908679,0.1874989439895399,0.03797715608978353,0.03996962232076017,0.006056916899901411,0.27694781219308817,0.006704450624956532,0.0008539825610676058,0.06809499408714045,0.058295814439025186,0.0008657458418919791,0.20434589271945522,0.03781675531731113,0.03781675531731113,0.005156801281449201,0.005156801281449201,0.21084440945930336
