# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=20, N=20, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Vll(MeV),Vlp(MeV),Vln(MeV),VNp(MeV),VNn(MeV),Vcoul(MeV)
0.0,-32.69290531663684,0.0,0.0,-45.901488661448106,-43.96916699299506,10.695493544064531
0.05,-32.66656852810266,0.0,0.0,-45.84117956383593,-43.90723011101577,10.694830428591093
0.1,-32.66789065129798,0.0,0.0,-45.9053966895285,-43.97822485969211,10.692841685565945
0.15000000000000002,-32.650028758392224,0.0,0.0,-45.99361038007271,-44.06858863287381,10.689528722911135
0.2,-32.62770956387071,0.0,0.0,-46.118188924048034,-44.19704955561656,10.684893936688457
0.25,-32.59958747364776,0.0,0.0,-46.277502861814284,-44.36128601167016,10.678940651485245
0.30000000000000004,-32.566267956635386,0.0,0.0,-46.47100435362966,-44.56074795362634,10.671673090506742
0.35000000000000003,-32.52833977411596,0.0,0.0,-46.69786659660146,-44.7945801337923,10.663096336991746
0.4,-32.48645501181683,0.0,0.0,-46.9570411085183,-45.061699101084464,10.653216286954525
0.45,-32.44131215331678,0.0,0.0,-47.247223394059866,-45.36076184569084,10.64203959327365
0.5,-32.393636794089744,0.0,0.0,-47.56682461699986,-45.69013824990658,10.629573601210552
0.55,-32.34416122492506,0.0,0.0,-47.91394581612739,-46.0478860688754,10.61582627553401
0.6000000000000001,-32.29360383797334,0.0,0.0,-48.28635685378629,-46.431730682177985,10.600806119547267
0.65,-32.24264898818407,0.0,0.0,-48.68148176473045,-46.83905128079906,10.584522086462023
0.7000000000000001,-32.191927921100486,0.0,0.0,-49.096391998813736,-47.26687497180196,10.566983483735507
0.75,-32.14200136261228,0.0,0.0,-49.52780882321241,-47.71188005160515,10.548199871179829
0.8,-32.09334434184884,0.0,0.0,-49.97211588813658,-48.17040943314586,10.528180953861941
0.8500000000000001,-32.04633377682114,0.0,0.0,-50.42538266425788,-48.63849491147269,10.506936471031079
0.9,-32.00123928831489,0.0,0.0,-50.88339913037824,-49.11189261714665,10.484476082531202
0.9500000000000001,-31.958217616001047,0.0,0.0,-51.341721724359424,-49.58612963657903,10.460809254369417
1.0,-31.917310887176633,0.0,0.0,-51.79573016508317,-50.056561369864276,10.43594514530863
1.05,-31.878448832144947,0.0,0.0,-52.24069430988017,-50.51843875347511,10.409892496523097
1.1,-31.84145485351635,0.0,0.0,-52.67184973780582,-50.96698400433582,10.38265952648957
1.1500000000000001,-31.806055647145683,0.0,0.0,-53.08448025892275,-51.39747306022902,10.354253833374294
1.2000000000000002,-31.77189385389419,0.0,0.0,-53.474005072881866,-51.80532242671951,10.324682307209303
1.25,-31.738543011243852,0.0,0.0,-53.8360678700851,-52.18617772742269,10.293951054123012
1.3,-31.705523894014824,0.0,0.0,-54.16662483136444,-52.53600093552013,10.262065334795828
1.35,-31.672321205935027,0.0,0.0,-54.462028281355636,-52.85115308281447,10.229029519149702
1.4000000000000001,-31.638399527695128,0.0,0.0,-54.71910272506456,-53.1284692342707,10.194847059052528
1.4500000000000002,-31.60321745664047,0.0,0.0,-54.93521017488344,-53.365322707169796,10.159520480529022
1.5,-31.566238993097656,0.0,0.0,-55.10830206340041,-53.55967591016339,10.123051396627297
1.55,-31.52694143290016,0.0,0.0,-55.236955620390745,-53.710115761898145,10.085440541705802
1.6,-31.484819299658977,0.0,0.0,-55.3203933337267,-53.815872384975115,10.04668782749221
1.6500000000000001,-31.439384168261572,0.0,0.0,-55.35848495423184,-53.876820599848095,10.006792420839684
1.7000000000000002,-31.39016056283903,0.0,0.0,-55.35173237466362,-53.89346459704613,9.965752842682322
1.75,-31.336678425063322,0.0,0.0,-55.30123853727041,-53.86690697098893,9.92356708728675
1.8,-31.278462912756883,0.0,0.0,-55.208662235995085,-53.79880398932739,9.880232760524896
1.85,-31.215022480577897,0.0,0.0,-55.07616122317425,-53.69130949506763,9.835747235566503
1.9000000000000001,-31.14583629987177,0.0,0.0,-54.9063263735144,-53.547010162915136,9.790107824118452
1.9500000000000002,-31.070342090016116,0.0,0.0,-54.7021097904083,-53.36885494729132,9.743311961127182
2.0,-30.987925363866403,0.0,0.0,-54.466749669823436,-53.16008147686354,9.695357400713121
2.0500000000000003,-30.89791095015402,0.0,0.0,-54.20369449657976,-52.92414190015406,9.646242421021055
2.1,-30.7995574644647,0.0,0.0,-53.9165287747536,-52.664630307465615,9.595966035642514
2.15,-30.692055180157695,0.0,0.0,-53.608902036632244,-52.38521339329393,9.544528209289407
2.2,-30.574527522056346,0.0,0.0,-53.28446237735992,-52.089565525178074,9.491930075461712
2.25,-30.446036188238544,0.0,0.0,-52.94679526875439,-51.781308892337684,9.43817415394613
2.3000000000000003,-30.30558971280889,0.0,0.0,-52.59936794865342,-51.463958953260864,9.383264566095006
2.35,-30.15215512523246,0.0,0.0,-52.245479288537084,-51.140875012259215,9.32720724595439
2.4000000000000004,-29.984672243809356,0.0,0.0,-51.888214727422856,-50.81521544611601,9.270010145426328
2.45,-29.802070063302928,0.0,0.0,-51.53040563530551,-50.48989688444101,9.211683431753075
2.5,-29.60328465540887,0.0,0.0,-51.174592334428105,-50.167556520725846,9.15223967569324
2.5500000000000003,-29.38727799038645,0.0,0.0,-50.82298995956426,-49.85051669408615,9.091694028814928
2.6,-29.153057101115863,0.0,0.0,-50.47745637164331,-49.54075092627133,9.030064388356337
2.6500000000000004,-28.89969303877373,0.0,0.0,-50.139461441170795,-49.23985071438099,8.967371548097786
2.7,-28.626339104925535,0.0,0.0,-49.810057178591194,-48.94899255614165,8.903639333652668
