# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=114, N=184, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rp11,Rp12,Rp13,Rp14,Rp15,Rp16,Rp17,Rp18,Rp19,Rp20,Rp21,Rp22,Rp23,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rn11,Rn12,Rn13,Rn14,Rn15,Rn16,Rn17,Rn18,Rn19,Rn20,Rn21,Rn22,Rn23,Rn24,Rn25,Rn26,Rn27,Rn28,Rn29,Rn30,Rn31,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6,Rl7,Rl8,Rl9,Rl10,Rl11,Rl12,Rl13,Rl14,Rl15,Rl16,Rl17,Rl18,Rl19,Rl20,Rl21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.009070098380203125,0.00011731933126949149,0.00012189034139943092,1.2639545972925542e-6,1.4190851788811473e-6,0.017026665107886987,1.2602539285930698e-8,1.548794070953909e-8,0.0003291890543415952,0.0003298412152664207,1.182648046818654e-10,1.6078235042897104e-10,4.457926656849851e-6,9.336108280927948e-13,4.728401263544948e-6,0.02235495235890413,1.409294961264188e-12,3.796223781308136e-15,5.1779373520402226e-8,5.712274680877774e-8,0.0005524196261647164,0.0005290738338084879,6.321821351912643e-15,0.007375591986747117,0.00010263400613871528,0.00010376423307961798,1.2150383165599319e-6,1.2929975555357846e-6,0.017288767824054963,1.3069190781879005e-8,1.4905171117200043e-8,0.0003174602780298394,1.3080114222676622e-10,0.0003189169069021345,1.6254987008693574e-10,4.4639747793556124e-6,1.0906723153715124e-12,4.675506993979829e-6,0.024074537368322987,1.4940561324261432e-12,4.637621425180896e-15,5.414190343312236e-8,5.843272745543922e-8,0.0005568709162453257,0.0005402001879789399,7.024384248545767e-15,7.387199266002848e-17,5.878227938893419e-10,6.412599087080422e-10,8.79305292018441e-6,8.637402937583361e-6,0.026563442307334678,1.2339652450867884e-16,5.097333236675817e-12,0.00938408307039076,0.00012420753633677928,0.00012420753633677928,1.4039554946520186e-6,1.4039554946520186e-6,0.017675346952344125,1.4558371343211033e-8,1.4558371343211033e-8,0.000315366517764651,0.000315366517764651,1.400915008546527e-10,1.400915008546527e-10,4.19501834231947e-6,4.19501834231947e-6,0.022667657058696007,1.1087124509404594e-12,1.1087124509404594e-12,4.4665017231489524e-8,4.4665017231489524e-8,0.0003951387230537054,0.0003951387230537054
0.1,0.01814233658256337,0.00046733661094366095,0.000485613989416331,1.010994124781391e-5,1.1352662418450671e-5,0.034040408994383785,2.0158951253500522e-7,2.4779044219885034e-7,0.001310045919050006,0.0013127949189948502,3.782967465024869e-9,5.144204008739284e-9,3.5645349641836854e-5,6.717002573737237e-11,3.781390748337687e-5,0.044658052693923166,1.0143136925710622e-10,1.1207136243146215e-12,8.279878403660887e-7,9.13594293885853e-7,0.002195676466060946,0.002103107241271615,1.868426535533835e-12,0.014753402135426693,0.0004105344851994406,0.00041513360611999034,9.718394759132012e-6,1.034443364816731e-5,0.03456340578431222,2.0904390429390487e-7,2.384766624483859e-7,0.0012684664792389944,4.183669914224781e-9,0.001274490171968713,5.201016061945444e-9,3.569146251456541e-5,7.846069209076606e-11,3.7391152418861456e-5,0.04809002481432472,1.0754083185841952e-10,1.368610140115184e-12,8.657000463378189e-7,9.345509519000207e-7,0.0022220937046909884,0.002155896314706629,2.076660190918304e-12,-2.162694342108301e-14,1.879383077035464e-8,2.0509408546007737e-8,7.027525940224704e-5,6.904715360763232e-5,0.053013113722533436,-3.607537567141057e-14,3.6647512413568927e-10,0.01876459332091191,0.0004935401221466482,0.0004935401221466482,1.1229000889720108e-5,1.1229000889720108e-5,0.03532560439712185,2.328668882560512e-7,2.328668882560512e-7,0.0012518961133501684,0.0012518961133501684,4.481079563206493e-9,4.481079563206493e-9,3.3541333023942234e-5,3.3541333023942234e-5,0.04527039147010534,7.976864347091704e-11,7.976864347091704e-11,7.142218592269182e-7,7.142218592269182e-7,0.0015668712676460558,0.0015668712676460558
0.15000000000000002,0.027218763468266887,0.0010509732419061277,0.001092342004853807,3.4111456456335754e-5,3.83150443029639e-5,0.05102814447722163,1.0201486905313455e-6,1.2543115382903978e-6,0.0029440284400739964,0.00295086999168511,2.8712878865984146e-8,3.905633864658015e-8,0.00012020128003433755,7.68761659848801e-10,0.000127546847112438,0.06685733012110454,1.1612474631178319e-9,1.9714687581079188e-11,4.187916652767024e-6,4.622179415675081e-6,0.004929781753285393,0.004722966919690305,3.287929151556282e-11,0.0221355756201956,0.0009235900980481484,0.0009342556012896922,3.2788796817748825e-5,3.4914927671456055e-5,0.051809622282869235,1.057789297627303e-6,1.2072385380638297e-6,0.002851446331153448,3.1750974046870657e-8,0.0028659050174467014,3.948966270248068e-8,0.00012034423431155423,8.978702710387243e-10,0.00012612227148926873,0.0719873146741938,1.2312476739781058e-9,2.4071767747820012e-11,4.3781308109547275e-6,4.728231088374866e-6,0.00499025072426861,0.004843107163993022,3.654529007613433e-11,-6.125454025316972e-13,1.4255792876847022e-7,1.55638793224376e-7,0.00023679006809868822,0.0002327408867532409,0.07923546139309387,-1.0224557128191267e-12,4.191672435936196e-9,0.028137947374003186,0.0011094018532473388,0.0011094018532473388,3.788299765904631e-5,3.788299765904631e-5,0.05292569065943986,1.1783676234985358e-6,1.1783676234985358e-6,0.0028120737870551585,0.0028120737870551585,3.4011069055904345e-8,3.4011069055904345e-8,0.00011309617208616914,0.00011309617208616914,0.06774342140540708,9.129645545906227e-10,9.129645545906227e-10,3.612480458975708e-6,3.612480458975708e-6,0.0035168130993048913,0.0035168130993048913
0.2,0.03630128803534971,0.0018678939351472806,0.001942075765483532,8.082474860119214e-5,9.081971001766315e-5,0.06797653216325795,3.222419196152548e-6,3.963664622367171e-6,0.005227583970643562,0.005241381867399881,1.2091573669673973e-7,1.6454002523385836e-7,0.00028458332419315576,4.319985877231923e-9,0.0003020825099528293,0.08890068207791914,6.528135102571836e-9,1.4829427820728468e-10,1.3219295408118714e-5,1.4595592423580529e-5,0.00874313856718054,0.008378893701390425,2.4741843780199984e-10,0.029524151546688034,0.0016416408980656572,0.001661388280420321,7.768574825505373e-5,8.276897969434348e-5,0.06901289646115182,3.3409598522821936e-6,3.81523034510003e-6,0.0050630662720810606,1.336911703429422e-7,0.005091021175634028,1.6637650047919896e-7,0.00028488069157552774,5.044663940861325e-9,0.0002987129692090066,0.09570719602804544,6.922008476698854e-9,1.8103394295161562e-10,1.3817397775726018e-5,1.4930570019059497e-5,0.008849352440747346,0.008592197255446075,2.7501631171815567e-10,-6.210910450436613e-12,5.998370738501414e-7,6.552594821844258e-7,0.0005599909490347356,0.0005507066423890536,0.10511751447981295,-1.0374064806535276e-11,2.3535564060812833e-8,0.03750058591888315,0.0019710165834410324,0.0019710165834410324,8.974734746870465e-5,8.974734746870465e-5,0.0704506249120602,3.721934235141894e-6,3.721934235141894e-6,0.004991425463080979,0.004991425463080979,1.4322474236971943e-7,1.4322474236971943e-7,0.0002677288195299598,0.0002677288195299598,0.0900223557662692,5.130412557944324e-9,5.130412557944324e-9,1.140286623338809e-5,1.140286623338809e-5,0.006235889239997732,0.006235889239997732
0.25,0.04539159717039307,0.0029178085518915325,0.0030349960861168375,0.00015777970522291458,0.00017737775059894248,0.08487183305215633,7.861712632565188e-6,9.675017168583463e-6,0.008156323406433217,0.008181136511915125,3.6869288980360017e-7,5.019646834889759e-7,0.0005549757435996067,1.6467492433164205e-8,0.0005893700879976426,0.11073578385617157,2.4897218171536548e-8,7.073046138068537e-10,3.2221619904732366e-5,3.559343833588837e-5,0.013620693757426985,0.01305831787121514,1.1806666471426886e-9,0.03692099895660065,0.002564452144256406,0.002596870711662065,0.00015163976501838088,0.00016167575242429657,0.0861583394460829,8.149822563998858e-6,9.313685155749285e-6,0.007898716098207397,4.0757625795255486e-7,0.007946861551699389,5.076089837611209e-7,0.000555454303377034,1.922594121803465e-8,0.0005828066197365435,0.11919033189957813,2.6401025885403438e-8,8.632580683390926e-10,3.36723457020771e-5,3.641058826466719e-5,0.013782938784429077,0.013389919206726926,1.312420734911083e-9,-3.7128766555749796e-11,1.8270537344956383e-6,1.997333679182817e-6,0.0010904996838229039,0.0010731420049051314,0.1305471406204107,-6.206408185116703e-11,8.962411111846752e-8,0.046848967547115455,0.0030776195260525173,0.0030776195260525173,0.00017516373805744452,0.00017516373805744452,0.08787554346765998,9.079575271103419e-6,9.079575271103419e-6,0.007784585951139318,0.007784585951139318,4.3670689462383543e-7,4.3670689462383543e-7,0.0005220270807287999,0.0005220270807287999,0.11204334530866455,1.955724626755804e-8,1.955724626755804e-8,2.7794055930101688e-5,2.7794055930101688e-5,0.00971264784993135,0.00971264784993135
0.30000000000000004,0.05449108577914806,0.004200347208033288,0.004371325526777519,0.00027247019087979073,0.00030649495445885677,0.10169978651800723,1.628798714319502e-5,2.0057042742444354e-5,0.011724632547282472,0.011766015106326222,9.164745703189083e-7,1.2485125700254758e-6,0.000957196175793878,4.911787078413853e-8,0.00101707742039411,0.13231003529432925,7.430566350190897e-8,2.5322956395986433e-9,6.668273374234798e-5,7.370349068327099e-5,0.019543227483465538,0.018745130087857612,4.22948994030448e-9,0.044327764985008254,0.0036917086424632117,0.003741104738824261,0.0002618424609371544,0.0002794084793881137,0.10323058589445343,1.6882218376024615e-5,1.9310437406962687e-5,0.011352451809143085,1.0129185131665633e-6,0.011429510055449595,1.2626756383550897e-6,0.0009578123123925833,5.7331459145861525e-8,0.0010057717941581923,0.1423772413791303,7.879953951296188e-8,3.0897859399136515e-9,6.966735902923152e-5,7.539611179802483e-5,0.019769921898841553,0.01921917480354809,4.701709809448977e-9,-1.596209829082719e-10,4.535689121888828e-6,4.962780859139276e-6,0.0018775688245797459,0.001849181389817788,0.1554133515530438,-2.670619900453265e-10,2.669922079386176e-7,0.056179575920978206,0.004428270156838425,0.004428270156838425,0.0003024208704799529,0.0003024208704799529,0.10517574133938704,1.8809214021779807e-5,1.8809214021779807e-5,0.011184789861842737,0.011184789861842737,1.0855118672916256e-6,1.0855118672916256e-6,0.0009002043083459486,0.0009002043083459486,0.13374326556850558,5.83354810803211e-8,5.83354810803211e-8,5.7519907350487316e-5,5.7519907350487316e-5,0.013932588929502897,0.013932588929502897
0.35000000000000003,0.06360078937967584,0.0057150314609790654,0.005951288587654804,0.0004323436651715205,0.000486667132064839,0.11844549570453862,3.014454090135527e-5,3.714635432015724e-5,0.015925594338112654,0.01599086525902112,1.978426842041606e-6,2.6971118138606494e-6,0.0015166006396739957,1.236884553726914e-7,0.0016125103691286655,0.15357052213907632,1.8724542912960856e-7,7.439776739024609e-9,0.00012324859837247986,0.0001363168903404435,0.026487260748847198,0.025419535635440357,1.243439513246311e-8,0.05174582617577256,0.005023005756416083,0.0050945306614203585,0.0004154364381359985,0.00044374210687748354,0.12021369527591999,3.1238671588344616e-5,3.5768925155997256e-5,0.015416973115100329,2.1861062360275107e-6,0.01553403598846437,2.7280182847043695e-6,0.0015171948195009416,1.4433129142982472e-7,0.0015946223809626529,0.16520829875387488,1.985863247372202e-7,9.074783900797927e-9,0.00012872744450602116,0.00013944836119269543,0.026784595539946138,0.026058922426152726,1.3823470832101917e-8,-5.471124481022058e-10,9.776430712952869e-6,1.0707894138277654e-5,0.002968749730837412,0.0029266161432917586,0.1796066266858412,-9.163180269627153e-10,6.713621257674941e-7,0.06548892495245998,0.006021831167740327,0.006021831167740327,0.00047974115260461585,0.00047974115260461585,0.12232671027636763,3.480654060221562e-5,3.480654060221562e-5,0.015183824291614223,0.015183824291614223,2.3432702032066406e-6,2.3432702032066406e-6,0.0014260071546754133,0.0014260071546754133,0.15505989447740906,1.4690563608405278e-7,1.4690563608405278e-7,0.00010631372599487215,0.00010631372599487215,0.01887813135501475,0.01887813135501475
0.4,0.07272132036002092,0.007461252305117405,0.007775076908986856,0.0006447899473349485,0.0007263733038731704,0.13509332316874353,5.136388508453748e-5,6.33452623142298e-5,0.020750936437036814,0.02084941150923858,3.851769420186764e-6,5.255154246934044e-6,0.00225798659789256,2.7516057895449714e-7,0.0024025257780985547,0.17446399669913604,4.168751464475633e-7,1.8913506605114598e-8,0.0002096861816082734,0.00023209675616446315,0.034425025602279065,0.033057958006545526,3.163471676649573e-8,0.05917624413159488,0.0065578388200571045,0.006657598353463283,0.0006195049664017276,0.0006624488149227033,0.13709106608751623,5.321766101724277e-5,6.100662038317113e-5,0.02008360282259908,4.254981085110159e-6,0.020254410620941767,5.316055622443054e-6,0.0022582344660758103,3.2098277815184593e-7,0.0023759308411435234,0.1876237545937764,4.4216529155080606e-7,2.3061905146624296e-8,0.00021893592010778197,0.00023742967759903072,0.03479667046400218,0.033884092015436476,3.517088169115398e-8,-1.589082641018933e-9,1.9000307361717374e-5,2.0834403081618614e-5,0.004409567789960697,0.004351606513426941,0.20301925937974757,-2.664495466000015e-9,1.4910447843196586e-6,0.07477356316215711,0.00785696370610326,0.00785696370610326,0.0007152673516065233,0.0007152673516065233,0.1393041755253874,5.929993075577636e-5,5.929993075577636e-5,0.019772029079249603,0.019772029079249603,4.561953346437343e-6,4.561953346437343e-6,0.0021226242445936397,0.0021226242445936397,0.17593208732883817,3.2682469091356736e-7,3.2682469091356736e-7,0.000180876923816407,0.000180876923816407,0.02452865194947999,0.02452865194947999
0.45,0.08185280876256217,0.009438247692085757,0.009842811962847151,0.0009171290198521972,0.001034066421725041,0.151626798893602,8.216275195824173e-5,0.00010141867497256216,0.02619098096474027,0.02633416217966648,6.9297415583514595e-6,9.462921504149966e-6,0.003205493963428806,5.568096469128889e-7,0.0034134371714644577,0.19493688126705927,8.443047293302569e-7,4.3051012210883354e-8,0.00033483940092332354,0.00037093962867283,0.04332445310350586,0.041632949545809046,7.206680165198421e-8,0.06661972635857746,0.008295591412876824,0.008430734490225895,0.0008810614518368732,0.0009432911215680235,0.15384536535977328,8.511007127518324e-5,9.769269626497346e-5,0.025342266392438945,7.652993106614995e-6,0.025583415107441464,9.573942772485252e-6,0.003204856992708706,6.493140618094404e-7,0.003375733801105306,0.20956378236580067,8.956165803458877e-7,5.247345334207016e-8,0.0003494849376750968,0.0003794637466606125,0.043771325727373744,0.04266549994561584,8.012780529044917e-8,-4.06731513510137e-9,3.4116274604039435e-5,3.745658463314666e-5,0.006243206518717968,0.006168385108402569,0.22554572890476823,-6.82843328013506e-9,3.011604160542056e-6,0.08403007727389054,0.009932126064875056,0.009932126064875056,0.0010170491969423631,0.0010170491969423631,0.15608413147278752,9.484442504142704e-5,9.484442504142704e-5,0.024938309190761204,0.024938309190761204,8.207226643137718e-6,8.207226643137718e-6,0.003012595965156425,0.003012595965156425,0.1962999490545636,6.613911249087434e-7,6.613911249087434e-7,0.00028884213993914776,0.00028884213993914776,0.03086054808931623,0.03086054808931623
