# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=114, N=184, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rhop,dRhop,LapRhop,Jp,DivJp,Rhon,dRhon,LapRhon,Jn,DivJn,Rhol,dRhol,LapRhol,Jl,DivJl,RhoN,dRhoN,LapRhoN,JN,DivJN
0.0,0.05553684407716714,-1.734723475976807e-17,-0.013141813948560021,0.0,-0.00023225682374553282,0.10440935813084487,3.469446951953614e-17,-0.0475672454146468,0.0,0.002628169022418943,0.0,0.0,0.0,0.0,0.0,0.159946202208012,1.734723475976807e-17,-0.06070905936320682,0.0,0.0023959121986734102
0.05,0.055531446921531814,-0.00022396672882622065,-0.013672043192448219,-3.900978556165374e-6,-0.00023514866440874424,0.10438961833909399,-0.0007956339621904493,-0.04787884521360794,4.362241298531199e-5,0.0026100106740005926,0.0,0.0,0.0,0.0,0.0,0.1599210652606258,-0.00101960069101667,-0.06155088840605616,3.9721434429146615e-5,0.0023748620095918483
0.1,0.05551437780664005,-0.0004543453366520969,-0.013557876128925117,-8.01553868800108e-6,-0.00024776136605058187,0.10432987093578315,-0.0015888106998640864,-0.047392259648310064,8.619778451599492e-5,0.0025596554983150863,0.0,0.0,0.0,0.0,0.0,0.1598442487424232,-0.0020431560365161833,-0.06095013577723518,7.818224582799384e-5,0.0023118941322645046
0.15000000000000002,0.05548609679461086,-0.0006775533102550482,-0.013502717398553712,-1.2757617650565679e-5,-0.000272910180245636,0.1042311011559145,-0.0023583973285617663,-0.04659031809232035,0.00012689137038977968,0.0024804016752779483,0.0,0.0,0.0,0.0,0.0,0.15971719795052536,-0.0030359506388168145,-0.06009303549087407,0.000114133752739214,0.0022074914950323122
0.2,0.05544665026379083,-0.0008998621165913663,-0.013418261404938951,-1.8382757380866283e-5,-0.00030694678961787087,0.10409450708532739,-0.003099812981172366,-0.045479697060530136,0.00016473177443862883,0.002369325531663931,0.0,0.0,0.0,0.0,0.0,0.15954115734911822,-0.003999675097763732,-0.05889795846546909,0.00014634901705776256,0.00206237874204606
0.25,0.055396158564891045,-0.0011192477167861793,-0.013306612546103505,-2.515356115623079e-5,-0.00034975915813053015,0.10392174593258494,-0.0038035952075095303,-0.044069823767559635,0.00019878429031785155,0.002227316491898092,0.0,0.0,0.0,0.0,0.0,0.159317904497476,-0.00492284292429571,-0.05737643631366314,0.00017363072916162076,0.001877557333767562
0.30000000000000004,0.05533478923883628,-0.0013348146896844867,-0.013165536222120116,-3.3311557247797114e-5,-0.0004005858439943341,0.10371491693785011,-0.004461125230623593,-0.042374110126758756,0.00022813647157398406,0.0020549921300200866,0.0,0.0,0.0,0.0,0.0,0.1590497061766864,-0.00579593992030808,-0.05553964634887887,0.00019482491432618694,0.0016544062860257523
0.35000000000000003,0.055262757225046144,-0.0015455874130036913,-0.01299251894627753,-4.306961525760208e-5,-0.00045852899847588773,0.10347653710060196,-0.005064326707110572,-0.0404090716346018,0.00025190364585945374,0.001853208802004746,0.0,0.0,0.0,0.0,0.0,0.1587392943256481,-0.006609914120114264,-0.05340159058087933,0.00020883403060185167,0.0013946798035288583
0.4,0.05518032835884235,-0.0017505045551099996,-0.012784749207793433,-5.4605912786424566e-5,-0.0005225330037127985,0.10320951156783775,-0.005605766292548185,-0.038194108059268726,0.0002692372270553309,0.001623075906602619,0.0,0.0,0.0,0.0,0.0,0.1583898399266801,-0.007356270847658185,-0.05097885726706216,0.00021463131426890632,0.0011005429028898206
0.45,0.05508782397274181,-0.0019484066028599943,-0.012539230038435628,-6.805825869149629e-5,-0.0005913868460356693,0.10291709899675236,-0.006078754035055735,-0.03575147913507574,0.00027933469591247685,0.0013659919685546184,0.0,0.0,0.0,0.0,0.0,0.15800492296949417,-0.008027160637915729,-0.048290709173511366,0.00021127643722098055,0.0007746051225189491
