# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=114, N=184, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Vll(MeV),Vlp(MeV),Vln(MeV),VNp(MeV),VNn(MeV),Vcoul(MeV)
0.0,-30.523284736295494,0.0,0.0,-64.35206998811739,-42.14451537581167,31.322800802771667
0.05,-30.501296309274085,0.0,0.0,-64.28644838083923,-42.07678898278529,31.322382041176954
0.1,-30.511172219178643,0.0,0.0,-64.33235781154652,-42.1247071186,31.32112594943997
0.15000000000000002,-30.504609167669962,0.0,0.0,-64.39030604720583,-42.17882288669868,31.31903297800405
0.2,-30.498133944131617,0.0,0.0,-64.47225531083387,-42.25577768362836,31.316103893374166
0.25,-30.48985433368099,0.0,0.0,-64.57656388430303,-42.35333176907087,31.312339764705406
0.30000000000000004,-30.48002565632999,0.0,0.0,-64.70257441294983,-42.47060559454461,31.307741959615488
0.35000000000000003,-30.468817280764032,0.0,0.0,-64.84940272221782,-42.60644418448862,31.302312138645544
0.4,-30.456415350079812,0.0,0.0,-65.01601376344253,-42.75950782348938,31.296052248209435
0.45,-30.443020580435025,0.0,0.0,-65.20122195430928,-42.92828167434035,31.288964511875218
0.5,-30.428843767623423,0.0,0.0,-65.40369626959351,-43.11109022054439,31.28105141980773
0.55,-30.414100711443837,0.0,0.0,-65.62196622427754,-43.30611374196826,31.272315716193326
0.6000000000000001,-30.399007090276832,0.0,0.0,-65.85442919299157,-43.511407133033124,31.262760384466695
0.65,-30.383773493049866,0.0,0.0,-66.09935922592321,-43.72492105326871,31.252388630166223
0.7000000000000001,-30.368600782708384,0.0,0.0,-66.35491750714952,-43.944525335758684,31.241203861259304
0.75,-30.35367595037358,0.0,0.0,-66.61916457184691,-44.16803450139271,31.229209665801893
0.8,-30.339168602835315,0.0,0.0,-66.89007436181494,-44.39323514264224,31.216409786828642
0.8500000000000001,-30.325228202573918,0.0,0.0,-67.16555014845216,-44.617914849522535,31.20280809440959
0.9,-30.31198214988749,0.0,0.0,-67.44344229313344,-44.83989225905675,31.18840855485773
0.9500000000000001,-30.299534760881958,0.0,0.0,-67.7215677456856,-45.05704772137413,31.173215197125977
1.0,-30.287967154795467,0.0,0.0,-67.99773110607813,-45.26735399663882,31.15723207649333
1.05,-30.27733802114632,0.0,0.0,-68.26974699552196,-45.46890633241077,31.140463235705063
1.1,-30.267685194294806,0.0,0.0,-68.53546340616448,-45.6599512273335,31.12291266379991
1.1500000000000001,-30.259027922224803,0.0,0.0,-68.79278562647147,-45.83891316720156,31.104584252926607
1.2000000000000002,-30.251369681344926,0.0,0.0,-69.03970027979017,-46.004418629479595,31.08548175351975
1.25,-30.244701361859082,0.0,0.0,-69.27429896919443,-46.155316692907746,31.06560872827032
1.3,-30.239004631285113,0.0,0.0,-69.49480099742259,-46.290695661062834,31.04496850538492
1.35,-30.234255278576907,0.0,0.0,-69.69957462934481,-46.40989521097442,31.02356413168002
1.4000000000000001,-30.230426348654312,0.0,0.0,-69.88715638677076,-46.51251370618905,31.001398326099515
1.4500000000000002,-30.227490896511355,0.0,0.0,-70.05626791060553,-46.59841046154262,30.978473434275063
1.5,-30.225424220475716,0.0,0.0,-70.2058299918291,-46.66770290762934,30.95479138476708
1.55,-30.22420547289642,0.0,0.0,-70.33497345519542,-46.720758766313175,30.930353647629847
1.6,-30.22381859112724,0.0,0.0,-70.44304667437234,-46.75818350671973,30.905161195935158
1.6500000000000001,-30.2242525380454,0.0,0.0,-70.52961959666102,-46.78080349324097,30.879214470867137
1.7000000000000002,-30.22550088695634,0.0,0.0,-70.59448425674005,-46.789645357672434,30.852513350965044
1.75,-30.227560826145623,0.0,0.0,-70.63765185316184,-46.78591221805696,30.8250571260438
1.8,-30.230431691886086,0.0,0.0,-70.65934654795373,-46.77095742593578,30.79684447626343
1.85,-30.234113162745683,0.0,0.0,-70.65999622340814,-46.74625654915201,30.76787345675178
1.9000000000000001,-30.23860326159636,0.0,0.0,-70.64022048989423,-46.71337829078516,30.738141488110625
1.9500000000000002,-30.243896314757464,0.0,0.0,-70.60081628415848,-46.67395501049404,30.707645353055913
2.0,-30.249981010715032,0.0,0.0,-70.54274142920067,-46.62965345754658,30.676381199361295
2.0500000000000003,-30.25683868529984,0.0,0.0,-70.46709654583388,-46.58214625200457,30.64434454919055
2.1,-30.264441937653153,0.0,0.0,-70.3751057131391,-46.533084568158245,30.61153031482273
2.15,-30.272753654515355,0.0,0.0,-70.268096273683,-46.484072390523295,30.577932820693974
2.2,-30.28172649072354,0.0,0.0,-70.14747816857715,-46.43664263128948,30.543545831603613
2.25,-30.291302824257194,0.0,0.0,-70.0147231709978,-46.39223532583337,30.50836258686132
2.3000000000000003,-30.301415175964763,0.0,0.0,-69.87134436395331,-46.352178061288285,30.472375840085483
2.35,-30.311987059233452,0.0,0.0,-69.71887618121049,-46.317668745059315,30.43557790430299
2.4000000000000004,-30.322934204144016,0.0,0.0,-69.55885529912281,-46.28976078517308,30.397960701946115
2.45,-30.33416608513259,0.0,0.0,-69.39280263365814,-46.26935073205662,30.359515819293442
2.5,-30.34558767089529,0.0,0.0,-69.22220666082951,-46.25716841933433,30.320234564858648
2.5500000000000003,-30.357101310619704,0.0,0.0,-69.04850824240309,-46.25376963758918,30.280108031192626
2.6,-30.368608670746518,0.0,0.0,-68.87308710104848,-46.25953137567408,30.239127159531385
2.6500000000000004,-30.38001264162042,0.0,0.0,-68.69725005365581,-46.27464966755792,30.19728280669248
2.7,-30.391219141856972,0.0,0.0,-68.52222107576571,-46.299140083555486,30.154565813597287
2.75,-30.402138760162558,0.0,0.0,-68.34913323756405,-46.33284090261898,30.110967074774653
2.8000000000000003,-30.41268818800905,0.0,0.0,-68.17902252076316,-46.375418992729806,30.066477608182197
2.85,-30.422791411481747,0.0,0.0,-68.01282349691614,-46.42637840894188,30.021088624666326
2.9000000000000004,-30.43238064563404,0.0,0.0,-67.85136682085252,-46.48507169102038,29.974791596369318
2.95,-30.441397009021614,0.0,0.0,-67.69537846734409,-46.55071380508594,29.927578323383187
3.0,-30.449790948949556,0.0,0.0,-67.54548061453687,-46.62239862601523,29.8794409979454
3.0500000000000003,-30.45752243876559,0.0,0.0,-67.40219405356771,-46.69911780091586,29.830372265471087
3.1,-30.46456097660717,0.0,0.0,-67.26594197939589,-46.77978176991828,29.780365281721785
3.1500000000000004,-30.470885420530045,0.0,0.0,-67.13705499453914,-46.86324265249421,29.729413765422066
3.2,-30.476483697097436,0.0,0.0,-67.01577713332678,-46.9483186368152,29.67751204565365
3.25,-30.481352420209845,0.0,0.0,-66.90227269297814,-47.03381944170513,29.62465510338299
3.3000000000000003,-30.485496453759204,0.0,0.0,-66.79663363807855,-47.11857235779517,29.570838606513114
3.35,-30.488928446516546,0.0,0.0,-66.69888733014736,-47.201448321422546,29.51605893789477
3.4000000000000004,-30.49166836082906,0.0,0.0,-66.60900432496027,-47.28138743481127,29.46031321578627
3.45,-30.493743009011432,0.0,0.0,-66.52690597919377,-47.35742332299685,29.403599306315048
3.5,-30.495185603100936,0.0,0.0,-66.45247161558683,-47.428705713363975,29.345915827569105
3.5500000000000003,-30.49603531633133,0.0,0.0,-66.38554501530764,-47.49452064150471,29.28726214502992
3.6,-30.49633684766966,0.0,0.0,-66.32594003447478,-47.55430772516541,29.22763835815223
3.6500000000000004,-30.496139975916485,0.0,0.0,-66.27344518279095,-47.60767400922944,29.167045277997552
3.7,-30.49549908632541,0.0,0.0,-66.22782705079196,-47.65440396480939,29.105484395936912
3.75,-30.494472651379798,0.0,0.0,-66.18883252886694,-47.69446532345191,29.042957843552504
3.8000000000000003,-30.4931226479671,0.0,0.0,-66.15618982195916,-47.728010539044604,28.979468343985932
3.85,-30.49151389547574,0.0,0.0,-66.12960832525383,-47.75537379048418,28.915019155100556
