# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=114, N=184, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

Baryon Type, occ, j, l, Energy(MeV)
proton, 1.0, 0.5, 0, -34.648162841796875
proton, 1.0, 1.5, 1, -31.240203857421875
proton, 1.0, 0.5, 1, -31.094512939453125
proton, 1.0, 2.5, 2, -27.222457885742188
proton, 1.0, 1.5, 2, -26.625656127929688
proton, 1.0, 0.5, 0, -25.197952270507812
proton, 1.0, 3.5, 3, -22.607406616210938
proton, 1.0, 2.5, 3, -21.279678344726562
proton, 1.0, 1.5, 1, -18.887527465820312
proton, 1.0, 0.5, 1, -18.421493530273438
proton, 1.0, 4.5, 4, -17.446945190429688
proton, 1.0, 3.5, 4, -15.106880187988281
proton, 1.0, 2.5, 2, -12.198173522949219
proton, 1.0, 5.5, 5, -11.793983459472656
proton, 1.0, 1.5, 2, -11.108192443847656
proton, 1.0, 0.5, 0, -10.369682312011719
proton, 1.0, 4.5, 5, -8.183082580566406
proton, 1.0, 6.5, 6, -5.680828094482422
proton, 1.0, 3.5, 3, -5.318035125732422
proton, 0.0, 2.5, 3, -3.522165298461914
proton, 0.0, 1.5, 1, -2.929140090942383
proton, 0.0, 0.5, 1, -2.316518783569336
proton, 0.0, 5.5, 6, -0.5979351997375488
neutron, 1.0, 0.5, 0, -44.738067626953125
neutron, 1.0, 1.5, 1, -41.989593505859375
neutron, 1.0, 0.5, 1, -41.572479248046875
neutron, 1.0, 2.5, 2, -38.280426025390625
neutron, 1.0, 1.5, 2, -37.379364013671875
neutron, 1.0, 0.5, 0, -35.017913818359375
neutron, 1.0, 3.5, 3, -33.809417724609375
neutron, 1.0, 2.5, 3, -32.208099365234375
neutron, 1.0, 1.5, 1, -29.299148559570312
neutron, 1.0, 4.5, 4, -28.706344604492188
neutron, 1.0, 0.5, 1, -28.542282104492188
neutron, 1.0, 3.5, 4, -26.154983520507812
neutron, 1.0, 2.5, 2, -23.152236938476562
neutron, 1.0, 5.5, 5, -23.063064575195312
neutron, 1.0, 1.5, 2, -21.603927612304688
neutron, 1.0, 0.5, 0, -20.795516967773438
neutron, 1.0, 4.5, 5, -19.304122924804688
neutron, 1.0, 6.5, 6, -16.945785522460938
neutron, 1.0, 3.5, 3, -16.635238647460938
neutron, 1.0, 2.5, 3, -14.236320495605469
neutron, 1.0, 1.5, 1, -13.563819885253906
neutron, 1.0, 0.5, 1, -12.696449279785156
neutron, 1.0, 5.5, 6, -11.744529724121094
neutron, 1.0, 7.5, 7, -10.402748107910156
neutron, 1.0, 4.5, 4, -9.804328918457031
neutron, 1.0, 3.5, 4, -6.665462493896484
neutron, 1.0, 2.5, 2, -6.353519439697266
neutron, 1.0, 1.5, 2, -5.019802093505859
neutron, 1.0, 0.5, 0, -4.875568389892578
neutron, 0.0, 6.5, 7, -3.584836959838867
neutron, 0.0, 5.5, 5, -2.767702102661133
lambda, 0.0, 0.5, 0, -27.247299194335938
lambda, 0.0, 0.5, 1, -24.082626342773438
lambda, 0.0, 1.5, 1, -24.082626342773438
lambda, 0.0, 1.5, 2, -20.179428100585938
lambda, 0.0, 2.5, 2, -20.179428100585938
lambda, 0.0, 0.5, 0, -18.449020385742188
lambda, 0.0, 2.5, 3, -15.652175903320312
lambda, 0.0, 3.5, 3, -15.652175903320312
lambda, 0.0, 0.5, 1, -13.022315979003906
lambda, 0.0, 1.5, 1, -13.022315979003906
lambda, 0.0, 3.5, 4, -10.602958679199219
lambda, 0.0, 4.5, 4, -10.602958679199219
lambda, 0.0, 1.5, 2, -7.319499969482422
lambda, 0.0, 2.5, 2, -7.319499969482422
lambda, 0.0, 0.5, 0, -6.210025787353516
lambda, 0.0, 4.5, 5, -5.144054412841797
lambda, 0.0, 5.5, 5, -5.144054412841797
lambda, 0.0, 2.5, 3, -1.6844186782836914
lambda, 0.0, 3.5, 3, -1.6844186782836914
lambda, 0.0, 0.5, 1, -0.7346701622009277
lambda, 0.0, 1.5, 1, -0.7346701622009277
