# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=40, N=50, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rp11,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rn11,Rn12,Rn13,Rn14,Rn15,Rn16,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6,Rl7,Rl8,Rl9,Rl10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.01590028314445541,0.00026816906455185156,0.0003146759884592695,3.955244567975632e-6,5.169706617858842e-6,0.029847847520615707,5.301143861927339e-8,7.628287887795069e-8,0.000656054364895397,6.625133021015898e-10,0.0007011553054939494,0.01757255819419574,0.00031077399248013315,0.0003506931840029058,4.712248117490284e-6,5.913275555155289e-6,0.030863874943205995,6.312339971692422e-8,8.935004812488027e-8,0.000678406352504522,0.0007243259920527991,7.743048938655289e-10,1.1687661100874446e-5,1.1833719921576123e-9,0.03442226901032228,1.1744304798236832e-5,7.860118573217559e-12,0.016340400274411342,0.0002990783861467582,0.0002990783861467582,4.436984448653435e-6,4.436984448653435e-6,0.026286769210693096,5.582447569824357e-8,5.582447569824357e-8,0.0004795221540501355,0.0004795221540501355
0.1,0.03177720915195178,0.0010696749047434246,0.0012547476576211783,3.162444400332543e-5,4.132050512657251e-5,0.059591591518957286,8.476811916632477e-7,1.21928117981837e-6,0.0026120926382084027,2.1184515653959802e-8,0.0027906333130623576,0.035117136501311784,0.0012407910151622935,0.0013996887183560245,3.7676421683002904e-5,4.7261931322156595e-5,0.06161275646850034,1.0093645923314392e-6,1.4280870150992752e-6,0.002703627335202528,0.0028854075527573737,2.4758789945135244e-8,9.339398177133231e-5,3.7814970908079805e-8,0.06863317943278396,9.381276881647919e-5,5.652293336836452e-10,0.03266831360906486,0.0011884213130213637,0.0011884213130213637,3.547645943749877e-5,3.547645943749877e-5,0.052502614051764575,8.926203825964772e-7,8.926203825964772e-7,0.001902488085334006,0.001902488085334006
0.15000000000000002,0.04760767684162332,0.002403904714076876,0.002818546185962317,0.0001066341183185447,0.00013924880012314663,0.08912792853585341,4.287422178310116e-6,6.162838117455419e-6,0.005862362086133374,1.6071402203261e-7,0.006260122694165869,0.052605970925101685,0.0027885616544863316,0.003144164320709008,0.00012703661333150946,0.00015926107814410827,0.09213237899163976,5.105118425040256e-6,7.217849805064431e-6,0.006067987562397168,0.00647250157937128,1.878303158485463e-7,0.00031460153906569705,2.866519593704931e-7,0.10242300241324181,0.00031582407988804136,6.4661514453698616e-9,0.04897116534218498,0.00267025434273749,0.00267025434273749,0.00011962385125909916,0.00011962385125909916,0.07857666257668212,4.514380761851241e-6,4.514380761851241e-6,0.004269856878809159,0.004269856878809159
0.2,0.06336915226731904,0.004267551434557448,0.005000536420069033,0.000252437369720957,0.00032938552040374616,0.11835525296699437,1.3532993076893776e-5,1.9434867324576736e-5,0.01038894926768111,6.763554517529585e-7,0.01108669141019809,0.070011979256834,0.004950138532637786,0.005577715728616881,0.0003007225323790889,0.0003766899377454536,0.12231036619130026,1.6113673645416274e-5,2.2760194773799742e-5,0.010752656095242907,0.01146104503630426,7.904764962033188e-7,0.000743726406314823,1.2050717570936154e-6,0.13558574090595474,0.0007459987187595316,3.6314721993123636e-8,0.06523646427441193,0.00474113444937197,0.00474113444937197,0.00028319105932255215,0.00028319105932255215,0.10443856310730291,1.4247867466939963e-5,1.4247867466939963e-5,0.007570069938091036,0.007570069938091036
0.25,0.07903992436104329,0.006656286448895803,0.007793388072536389,0.0004922303987502475,0.0006416237419489134,0.14717443820324233,3.298529144582143e-5,4.73154697976974e-5,0.01616789723097816,2.060605600061106e-6,0.01723961155453407,0.08730899371440974,0.007720212259874739,0.008691708491496815,0.0005863449520554903,0.0007336859782842182,0.15203697130713562,3.9274270148366544e-5,5.5405844952501984e-5,0.0167321391153982,0.017817806900193554,2.40829739513481e-6,0.0014475976658363278,3.666455627702444e-6,0.16792073912424804,0.0014504925681023688,1.3832693116588302e-7,0.08145174026490942,0.0073969915937169865,0.0073969915937169865,0.000552200976883089,0.000552200976883089,0.13001857372717385,3.472288907718232e-5,3.472288907718232e-5,0.011788375642855922,0.011788375642855922
0.30000000000000004,0.09459934174188107,0.009564680083353276,0.011187928366461621,0.0008488728580787912,0.0011051579151554786,0.1754895648427646,6.826162946886802e-5,9.777992300441864e-5,0.02316893923480454,5.116965274360891e-6,0.024680201909857584,0.10447203722695564,0.01109208247821503,0.012475313875420188,0.0010110944444387667,0.0012635527766350879,0.18120587753020923,8.12730013914297e-5,0.00011448557615970323,0.023974139231749722,0.025500905999310017,5.980351712633903e-6,0.0024909524481334937,9.089845833394806e-6,0.19923432560310642,0.002492767962581632,4.1221907427767434e-7,0.09760456154278863,0.01063271024809559,0.01063271024809559,0.0009522936187543586,0.0009522936187543586,0.1552477762185044,7.184491710224832e-5,7.184491710224832e-5,0.01690610555335317,0.01690610555335317
0.35000000000000003,0.11002802647881978,0.01298625878252964,0.015173272660071298,0.001344812942598148,0.0017483379383031608,0.20320858342056516,0.0001261658295286544,0.0001804280757918014,0.0313557387365566,1.1033160091171098e-5,0.03336225833925487,0.12147756872724663,0.015057722363396637,0.016915671685241666,0.0016016441561043152,0.0019985853551158774,0.2097149229926589,0.00015020577263997155,0.0002112245679971434,0.03243979750871951,0.0344602956954448,1.2894643526594958e-5,0.00393595065845318,1.9562264502327494e-5,0.22934132946942748,0.0039330125342147085,1.0369469190759897e-6,0.1136825423488089,0.014442094737721062,0.014442094737721062,0.0015086342253624342,0.0015086342253624342,0.1800582697236983,0.00013276025743157513,0.00013276025743157513,0.022900670776283827,0.022900670776283827
0.4,0.1253080568874132,0.01691358517462462,0.01973699228255254,0.0020020179864510294,0.0025985404592564006,0.23024389309768106,0.00021465254004768538,0.0003064019545221966,0.04068622131164303,2.145143600292286e-5,0.04323260989931521,0.13830369534730155,0.01960786270536824,0.021998089162063295,0.0023840573798727164,0.0029699158853923636,0.23746674293311967,0.0002555335765643413,0.0003586423828422624,0.04208401639103054,0.04463836955166282,2.5070058578804373e-5,0.005841713428278712,3.795231110013969e-5,0.25806645354396224,0.00582761413847815,2.3039943590055225e-6,0.12967334862950233,0.01881787438646453,0.01881787438646453,0.0022458237396982927,0.0022458237396982927,0.20438335562233675,0.000225814041771718,0.000225814041771718,0.029745643999746763,0.029745643999746763
0.45,0.14042311566130689,0.02133834868725251,0.02486530231123967,0.002841911076600238,0.003682059080685166,0.2565128267409333,0.00034278621067227155,0.0004882935739727019,0.051112954278294966,3.853543073916377e-5,0.054231745492738466,0.15493034805520245,0.024732086861758006,0.027706262252855683,0.003383700485113974,0.004207381818770201,0.26436932016412185,0.0004080303871496182,0.0005714409694802444,0.05285583063085012,0.055970642218569615,4.50340751764443e-5,0.008263888699836583,6.801391202352102e-5,0.2852454878507884,0.008228698070866892,4.655844214338389e-6,0.145564702633808,0.023751718681760885,0.023751718681760885,0.0031878119721346653,0.0031878119721346653,0.2281577142532277,0.00036050134226641415,0.00036050134226641415,0.03741087172350406,0.03741087172350406
