# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=82, N=126, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Vll(MeV),Vlp(MeV),Vln(MeV),VNp(MeV),VNn(MeV),Vcoul(MeV)
0.0,-31.471656580543932,0.0,0.0,-61.23710458296129,-51.206423762855025,25.878010336086312
0.05,-31.428604197815467,0.0,0.0,-61.077639346481234,-51.046815183624815,25.877473191761094
0.1,-31.451735519280632,0.0,0.0,-61.13138614678017,-51.018807588804584,25.87586251640977
0.15000000000000002,-31.443905611762737,0.0,0.0,-61.144955936138324,-50.950479448883044,25.873180077822425
0.2,-31.43817552227126,0.0,0.0,-61.1708324424021,-50.857440482888435,25.86942888840295
0.25,-31.43060962068371,0.0,0.0,-61.20406708954085,-50.740076697758234,25.86461311776621
0.30000000000000004,-31.42150648638117,0.0,0.0,-61.245089659318054,-50.60016597690093,25.85873804681125
0.35000000000000003,-31.41096022873009,0.0,0.0,-61.29408990116607,-50.439697138695806,25.851810009378607
0.4,-31.399069652698984,0.0,0.0,-61.35124239163946,-50.26093368644827,25.84383632252758
0.45,-31.385941008972516,0.0,0.0,-61.41668914193433,-50.06635830959327,25.83482520641442
0.5,-31.371686873341734,0.0,0.0,-61.4905217031655,-49.85862602702682,25.824785694824758
0.55,-31.35642426262379,0.0,0.0,-61.57276330401994,-49.640515250558984,25.8137275375052
0.6000000000000001,-31.340272824543007,0.0,0.0,-61.6633527492829,-49.4148785044995,25.801661095512436
0.65,-31.323353240311434,0.0,0.0,-61.76213079799616,-49.184593998776535,25.788597230851643
0.7000000000000001,-31.30578589799145,0.0,0.0,-61.86882956947522,-48.952519163935875,25.774547191709768
0.75,-31.28768985869926,0.0,0.0,-61.983065350731046,-48.72144710280198,25.75952249460585
0.8,-31.269182111970053,0.0,0.0,-62.10433500800729,-48.49406673543917,25.743534804781348
0.8500000000000001,-31.250377094233805,0.0,0.0,-62.23201604073381,-48.272927219901746,25.726595816140723
0.9,-31.231386426143377,0.0,0.0,-62.36537016832396,-48.060407034086595,25.708717132028987
0.9500000000000001,-31.212318811328537,0.0,0.0,-62.50355021527967,-47.858687914069385,25.689910148099298
1.0,-31.193280031262937,0.0,0.0,-62.64560996063322,-47.66973366946902,25.670185938482792
1.05,-31.174372969703306,0.0,0.0,-62.79051654839075,-47.49527374691207,25.649555146424625
1.1,-31.155697604118323,0.0,0.0,-62.9371650117703,-47.33679129064658,25.628027880496255
1.1500000000000001,-31.137350910906306,0.0,0.0,-63.084394445649274,-47.19551536013867,25.605613617433942
1.2000000000000002,-31.119426644347445,0.0,0.0,-63.231005363077706,-47.07241690732569,25.582321112587938
1.25,-31.102014964919203,0.0,0.0,-63.37577778851115,-46.96820809026342,25.55815831889456
1.3,-31.0852019093214,0.0,0.0,-63.517489667812335,-46.88334450206727,25.53313231520513
1.35,-31.069068711076532,0.0,0.0,-63.65493520940745,-46.818029920596004,25.50724924471928
1.4000000000000001,-31.0536909950502,0.0,0.0,-63.78694280701464,-46.77222322891926,25.480514264176513
1.4500000000000002,-31.039137881553607,0.0,0.0,-63.912392232543226,-46.745647215778014,25.452931504357043
1.5,-31.02547104428134,0.0,0.0,-64.03023082402132,-46.73779903138133,25.42450404233206
1.55,-31.01274377149972,0.0,0.0,-64.13948842952902,-46.74796214287784,25.395233885783
1.6,-31.001000081344806,0.0,0.0,-64.23929090350988,-46.77521970004212,25.365121969581
1.6500000000000001,-30.990273940115515,0.0,0.0,-64.3288719875733,-46.81846928035401,25.334168164680914
1.7000000000000002,-30.980588627563574,0.0,0.0,-64.40758344479465,-46.87643902978079,25.302371299241035
1.75,-30.971956286016027,0.0,0.0,-64.47490335520868,-46.94770524775528,25.26972919173078
1.8,-30.964377681175858,0.0,0.0,-64.53044252002282,-47.03071147887786,25.23623869563659
1.85,-30.95784219268858,0.0,0.0,-64.57394896345818,-47.12378916906058,25.201895755222967
1.9000000000000001,-30.952328042008112,0.0,0.0,-64.60531056075364,-47.22517991781338,25.166695471653625
1.9500000000000002,-30.947802755021996,0.0,0.0,-64.62455585896312,-47.333059313541504,25.130632178630382
2.0,-30.94422384687965,0.0,0.0,-64.63185318870437,-47.44556227472398,25.09369952656668
2.0500000000000003,-30.941539707785175,0.0,0.0,-64.62750819056536,-47.560809741871246,25.055890574183184
2.1,-30.93969066053898,0.0,0.0,-64.61195989436145,-47.67693647554054,25.017197886295946
2.15,-30.938610154492416,0.0,0.0,-64.58577549469443,-47.79211962171382,24.977613636467925
2.2,-30.938226055813637,0.0,0.0,-64.54964395946199,-47.90460761237183,24.937129713113215
2.25,-30.938461991408108,0.0,0.0,-64.504368592332,-48.01274888413172,24.895737827584156
2.3000000000000003,-30.939238703024,0.0,0.0,-64.4508586457334,-48.11501982663027,24.85342962273516
2.35,-30.94047536989206,0.0,0.0,-64.39012005314488,-48.21005132289197,24.810196780445434
2.4000000000000004,-30.94209086167809,0.0,0.0,-64.3232453191164,-48.296653218575024,24.76603112659718
2.45,-30.94400488961393,0.0,0.0,-64.25140257999084,-48.373836062104694,24.720924732045066
2.5,-30.94613903074118,0.0,0.0,-64.1758238273475,-48.44082949120464,24.67487000817765
2.5500000000000003,-30.94841760918765,0.0,0.0,-64.09779227692971,-48.49709670610415,24.62785979575957
2.6,-30.9507684274102,0.0,0.0,-64.0186288664126,-48.54234455976692,24.579887445853647
2.6500000000000004,-30.953123349487612,0.0,0.0,-63.93967787883119,-48.576528908495916,24.530946891751242
2.7,-30.955418746888032,0.0,0.0,-63.86229171374283,-48.599854995609334,24.481032710985282
2.75,-30.95759582359556,0.0,0.0,-63.78781486207698,-48.61277277898784,24.43014017665921
2.8000000000000003,-30.95960084215031,0.0,0.0,-63.71756718257142,-48.615967254469005,24.37826529749326
2.85,-30.961385273966407,0.0,0.0,-63.65282662205756,-48.61034396292342,24.32540484616388
2.9000000000000004,-30.9629058964473,0.0,0.0,-63.59481156650777,-48.59700999377726,24.271556375688753
2.95,-30.964124856019225,0.0,0.0,-63.54466305090857,-48.577250907147246,24.216718223784937
3.0,-30.965009710035268,0.0,0.0,-63.50342708960839,-48.55250408514993,24.16088950529979
3.0500000000000003,-30.965533453036706,0.0,0.0,-63.47203741505014,-48.524329090935005,24.104070092978617
3.1,-30.965674523557354,0.0,0.0,-63.451298926982574,-48.49437565763322,24.046260586989597
3.1500000000000004,-30.96541677858796,0.0,0.0,-63.441872159526206,-48.46434995294205,23.98746227377217
3.2,-30.96474941373106,0.0,0.0,-63.444259067187254,-48.435979767644056,23.927677074909678
3.25,-30.963666799689218,0.0,0.0,-63.458790416574395,-48.41097926357429,23.866907486849783
3.3000000000000003,-30.96216820007539,0.0,0.0,-63.48561504800078,-48.3910138900311,23.80515651240625
3.35,-30.960257332871574,0.0,0.0,-63.52469124378791,-48.3776660434137,23.742427585074587
3.4000000000000004,-30.95794173803702,0.0,0.0,-63.57578040851705,-48.37240200506792,23.678724487280338
3.45,-30.955231917580253,0.0,0.0,-63.63844323385661,-48.37654065235791,23.614051263754437
3.5,-30.95214022125476,0.0,0.0,-63.712038486864955,-48.3912243990679,23.54841213129482
3.5500000000000003,-30.948679461259736,0.0,0.0,-63.795724528625435,-48.417392786965166,23.481811386227037
3.6,-30.944861251852608,0.0,0.0,-63.88846363842497,-48.45575912037356,23.414253310920706
3.6500000000000004,-30.940694084283713,0.0,0.0,-63.98902918883819,-48.506790510594996,23.3457420807511
3.7,-30.936181162886932,0.0,0.0,-64.09601568807706,-48.57069167542528,23.276281672917005
3.75,-30.9313180432461,0.0,0.0,-64.20785167629472,-48.64739281815296,23.20587577853579
3.8000000000000003,-30.926090127343016,0.0,0.0,-64.32281543253137,-48.73654188786328,23.134527719433052
3.85,-30.92047008197098,0.0,0.0,-64.43905341597673,-48.837501494386295,23.06224037102665
3.9000000000000004,-30.914415254414678,0.0,0.0,-64.55460132821015,-48.94935071282433,22.98901609267112
3.95,-30.907865162876316,0.0,0.0,-64.66740764204047,-49.07089196134109,22.914856666777453
4.0,-30.900739137128618,0.0,0.0,-64.77535939461634,-49.200663067531536,22.839763247953382
4.05,-30.892934177694237,0.0,0.0,-64.87630998943527,-49.33695455233026,22.76373632331955
4.1000000000000005,-30.884323089105983,0.0,0.0,-64.96810869230087,-49.47783205440444,22.686775685046367
4.15,-30.874752925484287,0.0,0.0,-65.04863144248436,-49.62116369437281,22.608880416025265
4.2,-30.86404376542698,0.0,0.0,-65.1158125330217,-49.76465203895049,22.53004888943628
4.25,-30.851987810215874,0.0,0.0,-65.16767664790795,-49.90587017694615,22.450278782803284
4.3,-30.838348775594213,0.0,0.0,-65.20237067983447,-50.04230126656705,22.36956710694096
4.3500000000000005,-30.82286152614123,0.0,0.0,-65.21819469787573,-50.17138076788003,22.287910249996145
4.4,-30.80523188355422,0.0,0.0,-65.21363139128358,-50.29054044185137,22.20530403657532
4.45,-30.785136529172597,0.0,0.0,-65.18737329165374,-50.397253090619586,22.12174380173352
4.5,-30.76222291745379,0.0,0.0,-65.13834707250966,-50.489076938704876,22.03722447938372
4.55,-30.736109122540324,0.0,0.0,-65.0657342481236,-50.56369852074165,21.95174070447476
4.6000000000000005,-30.70638355469685,0.0,0.0,-64.96898764402938,-50.618972952440444,21.865286928086377
4.65,-30.672604506298484,0.0,0.0,-64.84784308882439,-50.6529605193736,21.777857544406857
4.7,-30.63429951724347,0.0,0.0,-64.70232588068139,-50.66395862209011,21.68944702839766
4.75,-30.5909645847263,0.0,0.0,-64.53275170717868,-50.65052826155113,21.600050082814207
