# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=82, N=126, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

Baryon Type, occ, j, l, Energy(MeV)
proton, 1.0, 0.5, 0, -36.694793701171875
proton, 1.0, 1.5, 1, -33.120880126953125
proton, 1.0, 0.5, 1, -32.612762451171875
proton, 1.0, 2.5, 2, -28.404159545898438
proton, 1.0, 1.5, 2, -27.185165405273438
proton, 1.0, 0.5, 0, -24.162857055664062
proton, 1.0, 3.5, 3, -22.840988159179688
proton, 1.0, 2.5, 3, -20.542770385742188
proton, 1.0, 1.5, 1, -17.213455200195312
proton, 1.0, 4.5, 4, -16.596755981445312
proton, 1.0, 0.5, 1, -16.160995483398438
proton, 1.0, 3.5, 4, -12.866752624511719
proton, 1.0, 2.5, 2, -9.803627014160156
proton, 1.0, 5.5, 5, -9.766685485839844
proton, 1.0, 1.5, 2, -7.940620422363281
proton, 1.0, 0.5, 0, -6.956417083740234
proton, 0.0, 4.5, 5, -4.327754974365234
proton, 0.0, 6.5, 6, -2.3994083404541016
proton, 0.0, 3.5, 3, -1.9526996612548828
neutron, 1.0, 0.5, 0, -44.702178955078125
neutron, 1.0, 1.5, 1, -40.952301025390625
neutron, 1.0, 0.5, 1, -40.389556884765625
neutron, 1.0, 2.5, 2, -36.148834228515625
neutron, 1.0, 1.5, 2, -34.876739501953125
neutron, 1.0, 0.5, 0, -32.548431396484375
neutron, 1.0, 3.5, 3, -30.538299560546875
neutron, 1.0, 2.5, 3, -28.198898315429688
neutron, 1.0, 1.5, 1, -25.541946411132812
neutron, 1.0, 0.5, 1, -24.389205932617188
neutron, 1.0, 4.5, 4, -24.281478881835938
neutron, 1.0, 3.5, 4, -20.507675170898438
neutron, 1.0, 2.5, 2, -18.239089965820312
neutron, 1.0, 5.5, 5, -17.483810424804688
neutron, 1.0, 1.5, 2, -16.134170532226562
neutron, 1.0, 0.5, 0, -15.750473022460938
neutron, 1.0, 4.5, 5, -11.957878112792969
neutron, 1.0, 3.5, 3, -10.668693542480469
neutron, 1.0, 6.5, 6, -10.213859558105469
neutron, 1.0, 2.5, 3, -7.698814392089844
neutron, 1.0, 1.5, 1, -7.629291534423828
neutron, 1.0, 0.5, 1, -6.524539947509766
neutron, 0.0, 4.5, 4, -2.9482288360595703
neutron, 0.0, 5.5, 6, -2.7426891326904297
neutron, 0.0, 7.5, 7, -2.518545150756836
neutron, 0.0, 2.5, 2, -0.3110392093658447
neutron, 0.0, 0.5, 0, -0.03505244851112366
lambda, 0.0, 0.5, 0, -26.903732299804688
lambda, 0.0, 0.5, 1, -22.867874145507812
lambda, 0.0, 1.5, 1, -22.867874145507812
lambda, 0.0, 1.5, 2, -18.004409790039062
lambda, 0.0, 2.5, 2, -18.004409790039062
lambda, 0.0, 0.5, 0, -16.089797973632812
lambda, 0.0, 2.5, 3, -12.461631774902344
lambda, 0.0, 3.5, 3, -12.461631774902344
lambda, 0.0, 0.5, 1, -9.597007751464844
lambda, 0.0, 1.5, 1, -9.597007751464844
lambda, 0.0, 3.5, 4, -6.408214569091797
lambda, 0.0, 4.5, 4, -6.408214569091797
lambda, 0.0, 1.5, 2, -3.1823368072509766
lambda, 0.0, 2.5, 2, -3.1823368072509766
lambda, 0.0, 0.5, 0, -2.366029739379883
lambda, 0.0, 4.5, 5, -0.06775504350662231
lambda, 0.0, 5.5, 5, -0.06775504350662231
