# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=82, N=126, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rp5,Rp6,Rp7,Rp8,Rp9,Rp10,Rp11,Rp12,Rp13,Rp14,Rp15,Rp16,Rp17,Rp18,Rp19,Rn1,Rn2,Rn3,Rn4,Rn5,Rn6,Rn7,Rn8,Rn9,Rn10,Rn11,Rn12,Rn13,Rn14,Rn15,Rn16,Rn17,Rn18,Rn19,Rn20,Rn21,Rn22,Rn23,Rn24,Rn25,Rn26,Rn27,Rl1,Rl2,Rl3,Rl4,Rl5,Rl6,Rl7,Rl8,Rl9,Rl10,Rl11,Rl12,Rl13,Rl14,Rl15,Rl16,Rl17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.008489189187259721,0.00013009229392072616,0.00013455223412684703,1.655999898236843e-6,1.8403608711376086e-6,0.01927970663128859,1.900310262991947e-8,2.31452728900316e-8,0.0003802879740355593,2.0169060321139068e-10,0.0003834932839666969,2.7175116494326724e-10,5.665771130504417e-6,1.7814738092397135e-12,5.859276620634166e-6,0.02596656872630249,2.6448268668517927e-12,8.047574394987545e-15,7.335586339360342e-8,0.010236321075972379,0.000149461071766281,0.00016026945647720745,1.9153424012502115e-6,2.1905345115247237e-6,0.021700341755234016,2.224025297983529e-8,2.7795193589244714e-8,0.00041327880743384244,0.00044013935849759043,2.3891774887165404e-10,3.3122183562622073e-10,6.222832678243601e-6,2.1280679843769956e-12,6.78483547684735e-6,0.028500649474040168,3.2823481492864588e-12,7.981885689720392e-8,9.629302883642644e-15,8.808504953471155e-8,0.0006517892185769932,0.0006708963371743088,8.964043474040052e-10,1.627953338237234e-14,1.6296023302103767e-16,9.396706473488764e-6,0.0150519831304545,0.011479161461244438,0.00016797679430354928,0.00016797679430354928,2.081933254936007e-6,2.081933254936007e-6,0.02062538415349182,2.343371114170071e-8,2.343371114170071e-8,0.00039812434020515953,0.00039812434020515953,2.406598053672998e-10,2.406598053672998e-10,5.398024754849933e-6,5.398024754849933e-6,0.022967124542293438,1.9638912240069385e-12,1.9638912240069385e-12
0.1,0.016979671878149274,0.0005188337637390974,0.0005366359960677145,1.3244862570250238e-5,1.4720179140632381e-5,0.03853618306294434,3.0394793328978796e-7,3.7021947604039404e-7,0.0015147272703677009,6.450963594547403e-9,0.0015274705804164948,8.692275840051425e-9,4.52958770267143e-5,1.28158940781996e-10,4.684466205068587e-5,0.05185347325495775,1.902807150720795e-10,2.3755531906815553e-12,1.172822051155526e-6,0.02046529547860567,0.0005970061586412271,0.0006400377038074688,1.5319073291305107e-5,1.751598319701371e-5,0.04335558577807465,3.557478004790286e-7,4.444754898301157e-7,0.001648690332775541,0.0017553709462871236,7.642465574795442e-9,1.0590866219293024e-8,4.974936781742977e-5,1.5311656557658582e-10,5.4228604546635506e-5,0.05688849141321045,2.3600769683608057e-10,1.2762435867196024e-6,2.8434404760438572e-12,1.4079925673536428e-6,0.0025963163088988743,0.0026717154958958616,2.8661214378300945e-8,4.796382886987829e-12,-4.7685646756784557e-14,7.509106704752338e-5,0.030017925308569976,0.02295219625909282,0.0006674003375610054,0.0006674003375610054,1.6649680257395436e-5,1.6649680257395436e-5,0.04121337672901492,3.747844773774862e-7,3.747844773774862e-7,0.001579969378657926,0.001579969378657926,7.69677981536608e-9,7.69677981536608e-9,4.315297672202296e-5,4.315297672202296e-5,0.045855337006124146,1.4126659359780915e-10,1.4126659359780915e-10
0.15000000000000002,0.025472658028997116,0.0011668191771195202,0.0012069584379255504,4.4683693467149026e-5,4.9665395466438534e-5,0.05774605048579125,1.5379227191948517e-6,1.8733969846261452e-6,0.003403329883104129,4.895540598908477e-8,0.0034321462103977726,6.596889344006424e-8,0.00015270305584836767,1.4665289688200042e-9,0.00015793469721688282,0.07758108102881973,2.177511910093247e-9,4.178106196145541e-11,5.930512166435617e-6,0.030679651606552054,0.001342542496055548,0.001438856922581726,5.168120520548852e-5,5.9070048759403926e-5,0.06492086277982217,1.8002292903728998e-6,2.248237963408173e-6,0.0037040942633807155,0.003942384589925218,5.800865123318143e-8,8.034787848071716e-8,0.00016771677190212763,1.752554949340579e-9,0.00018274078547439424,0.08505131771939421,2.6997616330577453e-9,6.4542894249978784e-6,5.0025268571972875e-11,7.117302954864781e-6,0.005826768660377411,0.0059938883396783525,2.1742436394623548e-7,8.432515764807473e-11,-1.3510992120397949e-12,0.00025296798315560217,0.04481234635019497,0.03441293624054793,0.001499964582708211,0.001499964582708211,5.616011831886628e-5,5.616011831886628e-5,0.06172657579558192,1.8961274547763775e-6,1.8961274547763775e-6,0.003547912798273461,0.003547912798273461,5.840559014172881e-8,5.840559014172881e-8,0.0001454657530450217,0.0001454657530450217,0.06858591265329285,1.616455032852518e-9,1.616455032852518e-9
0.2,0.03396934962718247,0.0020736013641002807,0.0021451963121883115,0.00010585817794741432,0.00011767490535675293,0.07688599421324542,4.8570184949783804e-6,5.91716630022086e-6,0.006040794236703158,2.0611612789058196e-7,0.006092431474781824,2.777732618159695e-7,0.0003613977579400247,8.239050927184813e-9,0.0003738133205528484,0.10307030840736217,1.2234259028093137e-8,3.1419685592440045e-10,1.8713044673755433e-5,0.040872322978634676,0.0023852533622478202,0.00255525915089677,0.00012243515972548146,0.00013986478016995657,0.0863518759820591,5.686347558070222e-6,7.0971489675969774e-6,0.0065728762166091855,0.006992341013107361,2.442982725514319e-7,3.3815080017383036e-7,0.00039693008721275843,9.849339686221861e-9,0.0004322351264391307,0.11287826847035308,1.5161471156685667e-8,2.0369346539500855e-5,3.7634543474987576e-10,2.2447504856451428e-5,0.01032477717136264,0.0106158089565461,9.149598415882507e-7,6.338752782861576e-10,-1.370490551816703e-11,0.0005980896718386009,0.05935096422810562,0.04585526949943922,0.002664289644149913,0.002664289644149913,0.0001330124010511461,0.0001330124010511461,0.08212780862337224,5.987345224129566e-6,5.987345224129566e-6,0.0062948916967612055,0.0062948916967612055,2.458813998973946e-7,2.458813998973946e-7,0.00034422605919529043,0.00034422605919529043,0.09108077869439145,9.080973971074687e-9,9.080973971074687e-9
0.25,0.04247087807029709,0.003238700725489869,0.0033510485069446834,0.00020660695774644288,0.00022970702865474953,0.09593266214371436,1.1846762610895595e-5,1.4434638355317077e-5,0.009420261431811277,6.283097004551544e-7,0.009501773087929212,8.468429026829293e-7,0.0007044387540178836,3.1397139104985884e-8,0.0007287239694716988,0.12824271204570742,4.66260659060298e-8,1.4981020425976586e-9,4.559136204104203e-5,0.05103652689798612,0.003724076761831992,0.00398730004211151,0.00023895966563010145,0.0002727919255494893,0.10760513441856387,1.3872440114114299e-5,1.730089721665612e-5,0.010246145449112584,0.010893337984843711,7.449549829449489e-7,1.0302724075832627e-6,0.0007736978731966869,3.754989853153265e-8,0.000841890528977318,0.1402604301068437,5.774901916442006e-8,4.9637764150321754e-5,1.795338244159226e-9,5.4657875578290585e-5,0.016065515559197302,0.016508281569212496,2.7873083072473833e-6,3.0208988185516683e-9,-8.196671664096158e-11,0.001164290399649481,0.07355124851347933,0.057273112911717265,0.004158881614853169,0.004158881614853169,0.0002595193936201864,0.0002595193936201864,0.10238014561927967,1.4600786836336533e-5,1.4600786836336533e-5,0.009812187480831801,0.009812187480831801,7.494392902225466e-7,7.494392902225466e-7,0.0006708587930788259,0.0006708587930788259,0.11326272541489729,3.460381188270831e-8,3.460381188270831e-8
0.30000000000000004,0.05097828429571287,0.004661517001976559,0.004824142517106765,0.00035670615754429373,0.000396665954589531,0.11486265976524206,2.453716056966314e-5,2.9902397819114838e-5,0.013533008499762352,1.561296221591024e-6,0.013651833966864348,2.104629225185602e-6,0.0012142859814963558,9.361449108621986e-8,0.0012563252976098855,0.15302070651267752,1.3903611613630991e-7,5.3613933294905154e-9,9.429881819095242e-5,0.06116584812959526,0.005357677283477454,0.005732547473627553,0.0004125609450062721,0.0004705866993487024,0.12863819420136238,2.8739908304534322e-5,3.5809524129048365e-5,0.01471260113080401,0.015630325683342952,1.8519080583600843e-6,2.558583287990025e-6,0.0013336700779973407,1.1201817388817382e-7,0.0014499217601949212,0.1670914366420098,1.7208683847713373e-7,0.00010269574058073456,6.4290408747515375e-9,0.00011297204611825308,0.0230174301135483,0.02363434551251059,6.92075623650621e-6,1.080509257196998e-8,-3.5258130610124665e-10,0.0020037787841483876,0.08733296886741386,0.06866042717545275,0.005981883949272338,0.005981883949272338,0.00044787949714271663,0.00044787949714271663,0.12244698964294669,3.0233835063879438e-5,3.0233835063879438e-5,0.014088792651061513,0.014088792651061513,1.8620246885568927e-6,1.8620246885568927e-6,0.0011561728783968258,0.0011561728783968258,0.13505569788741514,1.0316936483670349e-7,1.0316936483670349e-7
0.35000000000000003,0.05949249505249584,0.006341316783471979,0.006564019482137678,0.0005658540456554157,0.0006293881128205397,0.1336525358239342,4.539637724860089e-5,5.5333912963958095e-5,0.018368428126195078,3.3691350635225184e-6,0.01853246537281667,4.542345849812629e-6,0.0019226561097922098,2.3563967355956327e-7,0.0019895488798891614,0.17732776464030858,3.5001462758022704e-7,1.574431972416868e-8,0.00017417785854714608,0.07125431324243005,0.0072844559799645145,0.007788117106132213,0.000654455186483667,0.0007457946655943808,0.149409876682449,5.3187257492867636e-5,6.61993944384038e-5,0.01995857389466,0.02118523029608752,3.9981458753440025e-6,5.517301209296507e-6,0.0021116785748989037,2.821345055557133e-7,0.0022933628718905894,0.19326803107656343,4.328761549687819e-7,0.00018974658709403324,1.8892832729224047e-8,0.00020849833865588653,0.031142386308933304,0.03194956473365711,1.492028358153385e-5,3.170979518052938e-8,-1.2092673146220534e-9,0.003166749701877155,0.1006187140570202,0.08001122675281833,0.008131053778592632,0.008131053778592632,0.0007101489439856652,0.0007101489439856652,0.1422921549446573,5.591942468875341e-5,5.591942468875341e-5,0.01911137352508589,0.01911137352508589,4.017390089143264e-6,4.017390089143264e-6,0.0018302132179720037,0.0018302132179720037,0.1563850718328941,2.5967154743929214e-7,2.5967154743929214e-7
0.4,0.06801429820343183,0.008277227659235172,0.008570125689913196,0.0008436558356615325,0.0009386284121697084,0.152278765178217,7.732309432666949e-5,9.427151868827178e-5,0.02391403855335578,6.556494655850055e-6,0.024131708325336378,8.841274478328586e-6,0.0028603813532879353,5.239594211348367e-7,0.002960459223939658,0.20108860851858404,7.78387160699472e-7,4.000468348626647e-8,0.00029611568850193543,0.08129645409080616,0.00950256562210587,0.010150718037226501,0.000975751324901439,0.0011107422466860182,0.16988045976379268,9.062276246767247e-5,0.00011265671681662284,0.02596809340280351,0.02753711895859125,7.784742985809807e-6,1.0728391802708717e-5,0.0031415808703147106,6.277704122865244e-7,0.003407865549377056,0.21869058035850852,9.618028918611797e-7,0.0003226964515708638,4.804261345694986e-8,0.00035413517193704484,0.040395888427963475,0.04140241520586227,2.900358739041408e-5,8.05124026106502e-8,-3.5147902646045165e-9,0.004701007937345106,0.11333437623014224,0.09131958869754218,0.010603761111302568,0.010603761111302568,0.001058214665395029,0.001058214665395029,0.16187994262375632,9.521456463878427e-5,9.521456463878427e-5,0.024864298268610738,0.024864298268610738,7.816465031735122e-6,7.816465031735122e-6,0.002722116471939585,0.002722116471939585,0.17717792035174443,5.773454223657123e-7,5.773454223657123e-7
0.45,0.07654431751322525,0.010468232991144277,0.010841804215598416,0.0011996086120848303,0.0013350462592162298,0.1707177299208353,0.00012363758344630923,0.00015077698274482097,0.030155501225730175,1.1790248038789378e-5,0.030435801248992065,1.5902188912575624e-5,0.004057271945318781,1.0597142762104078e-6,0.004200116284275535,0.22422939193401392,1.5745393528080757e-6,9.100658585124784e-8,0.00047246938353370777,0.09128735897235365,0.012009927876776778,0.012816703962451036,0.0013874341024683716,0.0015775112182576743,0.19001183893868615,0.0001449557238206391,0.00017995895751754114,0.03272296723958962,0.03466238721365771,1.4007217402435635e-5,1.927542827022008e-5,0.004456107355138213,1.2706250085768676e-6,0.004827514084317543,0.24326353804526124,1.9436372716097135e-6,0.0005150786025259192,1.0938698124840751e-7,0.0005644629908235889,0.05072733916939255,0.05193473044993357,5.2089784274202136e-5,1.8300906992099137e-7,-9.00315200826628e-9,0.006651605488317064,0.1254095958406483,0.10257966068875603,0.013396993520617344,0.013396993520617344,0.0015037678121962049,0.0015037678121962049,0.1811752129765703,0.00015218692490697488,0.00015218692490697488,0.0313296843843445,0.0313296843843445,1.4052771135757698e-5,1.4052771135757698e-5,0.003859971292238894,0.003859971292238894,0.1973632710759065,1.1675680565697828e-6,1.1675680565697828e-6
