# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=8, N=8, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Rp1,Rp2,Rp3,Rp4,Rn1,Rn2,Rn3,Rn4,Rn5,Rl1,Rl2,Rl3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.03412370367384107,0.0007546254064691088,0.0008702327341900926,1.4589805176136809e-5,0.03459062400800826,0.0007703096367322576,0.0008938577334461795,1.5120226181377168e-5,0.0401710890484518,0.030760698613630764,0.0006587600860186726,0.0006587600860186726
0.1,0.06812881181559868,0.003012790121913864,0.0034705098425341315,0.0001165838617213793,0.06905950165085929,0.003076535233089411,0.0035659451621225615,0.00012082069827931122,0.0800613432554961,0.0614554161688893,0.002619367483694047,0.002619367483694047
0.15000000000000002,0.10189811549393217,0.006763521590228189,0.007781159980636015,0.0003927152280450187,0.10328625632328735,0.006906696429517408,0.007995001302330117,0.00040697772434839815,0.1193930395472775,0.09201843881720374,0.005879663300112982,0.005879663300112982
0.2,0.13531735857652225,0.011987030943733469,0.013766739328115776,0.0009283839487420702,0.13715353822552206,0.012240439915753952,0.01414416957950721,0.0009620690856640173,0.15789497816220316,0.12238465610806958,0.010423744748020007,0.010423744748020007
0.25,0.16827651776113214,0.018656167133238897,0.02137898039260927,0.0018070132008954553,0.17054829955879855,0.019049712690022126,0.021963120437677747,0.0018724974521263113,0.19530538405971648,0.15248981343984608,0.016230795043913705,0.016230795043913705
0.30000000000000004,0.2006710259206877,0.026736678562268374,0.03055757880706437,0.003109431731331076,0.20336304480184147,0.027299094371726684,0.03138895168760544,0.0032219401853079387,0.23137468332327188,0.18227076071504703,0.023274500564592862,0.023274500564592862
0.35000000000000003,0.23240283325390212,0.036187644499687026,0.04123135480627828,0.004913289469959763,0.23549691577167048,0.03694624146061141,0.04234740757847059,0.005090732565749249,0.2658679670776028,0.21166566902141576,0.03152316418383958,0.03152316418383958
0.4,0.2633812904117683,0.0469619803261603,0.053319591873793266,0.007292512026909315,0.26685659795577354,0.0479424015131841,0.05475427634431058,0.007555290383435597,0.2985671078219075,0.24061421455571552,0.04093991347101928,0.04093991347101928
0.45,0.293523839476171,0.05900699303330458,0.06673348939309726,0.010316798312746076,0.2973570340243592,0.06023297855244393,0.06851690638016329,0.010687576448461352,0.32927249840982675,0.2690577298216173,0.05148294650034543,0.05148294650034543
0.5,0.3227565063604258,0.07226496848925353,0.08137767611791424,0.0140511640192813,0.3269219376498231,0.07375813235807044,0.08353578699892132,0.014554614154578968,0.35780439835924904,0.29693932418495916,0.0631057995700125,0.0631057995700125
0.55,0.3510141956548074,0.08667377316104329,0.09715173508870514,0.018555532205084543,0.3554841082149076,0.08845339474410957,0.09970614281872862,0.01921804979567949,0.3840038866979648,0.32420397767968184,0.07575762891216677,0.07575762891216677
0.6000000000000001,0.37824079522891246,0.10216745402895737,0.11395169514650788,0.023884370801325848,0.3829855532634086,0.10425028671451879,0.116919495226978,0.024733763944023435,0.4077334332230068,0.3507986132030083,0.08938350116310016,0.08938350116310016
0.65,0.40438910294376607,0.11867682176198217,0.13167144994414462,0.030086375529652574,0.4093774306028966,0.12107692155426789,0.13506515016761736,0.031151530884747144,0.42887711063420175,0.37667215290064576,0.10392468896970833,0.10392468896970833
0.7000000000000001,0.4294205916302208,0.13613000384416354,0.15020407199552308,0.03720419553755558,0.43461982582185743,0.13885858039617568,0.1540315782768454,0.038514723895854745,0.4473404783841852,0.40177556465872893,0.11931896938050297,0.11931896938050297
0.75,0.4533050311869648,0.15445295619258492,0.16944299640128324,0.04527419804012193,0.4586813837617431,0.15751824853569082,0.17370766068089458,0.04686006310067439,0.4630501753437511,0.42606190428086327,0.13550092374202719,0.13550092374202719
0.8,0.4760199884328296,0.1735699238449518,0.1892830560603748,0.05432626744577834,0.48153881437262563,0.1769771027067602,0.19398378116774873,0.056217401740955304,0.47595326269522087,0.4494863582597149,0.15240223870310163,0.15240223870310163
0.8500000000000001,0.49755022641122354,0.1934038434921553,0.20962135712561933,0.06438363387770715,0.503176294567188,0.19715494166037226,0.21475275264200286,0.06660954607021116,0.4860163610511253,0.47200629118393056,0.16995200861365437,0.16995200861365437
0.9,0.5178870253501964,0.21387668296846907,0.23035798997172724,0.07546272572348878,0.5235847883212312,0.21797055468584547,0.23591057254092584,0.07805210369757319,0.4932246268424976,0.49358130086985,0.18807704009584028,0.18807704009584028
0.9500000000000001,0.5370274475325647,0.23490971525966628,0.2513965768633729,0.0875730408892857,0.5427613074407686,0.23934202515351735,0.2573570080646879,0.09055335516573244,0.49758061267703235,0.5141732833630583,0.2067021598779118,0.2067021598779118
1.0,0.5549735679702562,0.25642372709666356,0.27264466272595994,0.10071703182402274,0.5607081351590675,0.26118696868191993,0.2789960175300817,0.10411414385112215,0.4991030547385451,0.5337465090736352,0.22575052713682373,0.22575052713682373
1.05,0.5717316920050637,0.27833916469279324,0.2940139598441874,0.1148900001147993,0.5774320340328871,0.2834227080601147,0.3007360187956181,0.11872777993571752,0.49782562747558123,0.5522677105157493,0.24514395161451802,0.24514395161451802
1.1,0.5873115797536602,0.3005762215573528,0.3154204608718579,0.13007999751225904,0.592943458449929,0.30596638947982396,0.3224900194459711,0.13437995519464654,0.49379570191309213,0.5697061814170208,0.2648032186715868,0.2648032186715868
1.1500000000000001,0.601725695661972,0.32305487546483264,0.33678443717639256,0.14626773157168557,0.6072557904218132,0.3287350468324643,0.34417562620468206,0.15104866661969726,0.48707313906210675,0.5860338863305915,0.28464842223112363,0.28464842223112363
1.2000000000000002,0.6149884993412833,0.3456948834672844,0.3580303412324794,0.16342647561602394,0.620384615229376,0.3516456226850867,0.3657149528317128,0.16870414837748493,0.47772914429870367,0.6012255793023606,0.3045993062508609,0.3045993062508609
1.25,0.6271157913702458,0.3684157452112776,0.37908663252169794,0.18152198434759947,0.6323470509595179,0.37461495596568606,0.38703444655745867,0.18730881318601833,0.46584520249046757,0.6152589295991988,0.3245756149467767,0.3245756149467767
1.3,0.6381241249467399,0.39113664569369305,0.39988554622749695,0.20051241805520822,0.6431611431159797,0.39755974729205684,0.4080646529493809,0.2068172057803217,0.45151210736200703,0.6281146519814444,0.3444974514810951,0.3444974514810951
1.35,0.6480302912797399,0.4137763889330041,0.42036282301848965,0.22034827988506636,0.6528453324271799,0.4203965132394003,0.42873993808889027,0.22717597262610542,0.4348290924249708,0.6397766385064024,0.36428564423141624,0.36428564423141624
1.4000000000000001,0.6568508835690743,0.43625333385910114,0.4404574165117782,0.2409723719849013,0.6614180008662025,0.44304154067629814,0.4489981851874105,0.24832385334533272,0.41590306505695745,0.6502320883933219,0.3838621190926126,0.3838621190926126
1.4500000000000002,0.6646019414918338,0.4584853430951878,0.46011119276691853,0.26231977743214513,0.6688970979104724,0.46541085167019464,0.4687804804668997,0.27019170038044477,0.3948479402658925,0.6594716320905091,0.4031502755558011,0.4031502755558011
1.5,0.6712986754653297,0.4803897543238861,0.4792686335812248,0.2843178756950318,0.6752998463750861,0.487420188481399,0.4880308004833923,0.2927025342217832,0.37178406652912344,0.6674894453976254,0.4220753635968056,0.4220753635968056
1.55,0.6769552677495474,0.5018833827389405,0.4978765526676349,0.3068863999636311,0.6806425249201452,0.5089850269772791,0.5066957103220312,0.3157716420730516,0.3468377329761844,0.6742833493528151,0.4405648577385109,0.4405648577385109
1.6,0.6815847458303532,0.5228825618542493,0.5158838312432472,0.32993754508071926,0.6849403227043569,0.5300206255822038,0.5247240794937965,0.33930672819177266,0.3201407451222006,0.679854891638564,0.4585488240849374,0.4585488240849374
1.6500000000000001,0.6851989225984457,0.5433032288552906,0.5332411773860527,0.3533761350887413,0.6882072607446247,0.5504421158209771,0.5420668201709647,0.36320812441055084,0.2918300552835751,0.6842094055308597,0.475960275722409,0.475960275722409
1.7000000000000002,0.687808397667184,0.563061059904055,0.5499009119529868,0.3770998596986635,0.6904561744008211,0.5701646397871896,0.5586766508381641,0.38736906963638157,0.2620474335453119,0.68735604293936,0.49273551170626745,0.49273551170626745
1.75,0.6894226147432109,0.5820716604747423,0.565816783066721,0.4009995893866053,0.6916987520200175,0.5891035396015006,0.5745078876818881,0.4116760675516212,0.2309391654376726,0.6893077788669192,0.5088144349513352,0.5088144349513352
1.8,0.6900499711769141,0.6002508159547904,0.5809438112607619,0.42495977940799845,0.6919456260384362,0.6071746041673829,0.5895162661793224,0.4360093323772538,0.1986557629956925,0.690081385630702,0.5241408447510911,0.5241408447510911
1.85,0.6896979774761487,0.617514808337283,0.5952381682976131,0.4488589737891377,0.6912065145457474,0.6242943792209161,0.6036587963451462,0.46024333340796086,0.16535167627906477,0.6896973763755051,0.538662700363158,0.538662700363158
1.9000000000000001,0.6883734663718122,0.6337808056701677,0.6086570942832156,0.47257042121002507,0.68949041316302,0.6403805476122004,0.6168936567820104,0.48424744998094044,0.13118499242517667,0.6881799186792825,0.5523323530766859,0.5523323530766859
1.9500000000000002,0.6860828526115177,0.6489673316990131,0.6211588596954523,0.49596281540168413,0.6868058386996015,0.6553523876222351,0.6291801347461706,0.5078867493569688,0.09631710870551083,0.6855567202799793,0.5651067453382941,0.5651067453382941
2.0,0.6828324456342895,0.6629948234253529,0.6327027809139578,0.5189011728924983,0.6831611270371362,0.6691313174814625,0.6404786214590061,0.531022900305043,0.06091236483277982,0.6818588900073961,0.5769475767390748,0.5769475767390748
2.0500000000000003,0.6786288172881483,0.6757862836418459,0.6432492993098696,0.5412478602080106,0.6785647876817725,0.6816415336439379,0.6507506733820102,0.5535152345306178,0.025137618104079402,0.6771207777583984,0.5878214378164389,0.5878214378164389
2.1,0.6734792255454253,0.6872680334820086,0.6527601344694354,0.5628637804906974,0.6730259161806321,0.6928107483599449,0.6599591506594354,0.5752219659894087,-0.010838256752274287,0.671379797715807,0.5976999135635358,0.5976999135635358
2.15,0.6673920926734472,0.6973705663613363,0.6611985213298174,0.58360972556615,0.6665546630446498,0.702571028401182,0.6680684430591842,0.5960015741769802,-0.046844962392639175,0.6646762389431139,0.6065596591561483,0.6065596591561483
2.2,0.6603775326711075,0.7060294993428647,0.6685295387279769,0.603347893521011,0.6591627541019676,0.7108597313818895,0.6750447913380483,0.6157143514537124,-0.08271148785085884,0.6570530670189777,0.6143824506451049,0.6143824506451049
2.25,0.6524479183397122,0.7131866111700939,0.6747205331670341,0.6219435639199582,0.6508640526845706,0.7176205292282014,0.6808567080903761,0.6342241064010439,-0.11826694973754145,0.6485557196039745,0.621155213230857,0.621155213230857
2.3000000000000003,0.6436184736408799,0.7187909484874123,0.6797416367863325,0.6392669132245028,0.6416751492524926,0.7228045004991084,0.6854754971168844,0.6514000054687427,-0.15334158019040528,0.6392318979030939,0.6268700293108372,0.6268700293108372
2.35,0.6339078726006603,0.7227999738328179,0.6835663730556836,0.6551949424216285,0.6316159595843766,0.7263712651866011,0.6888758646590799,0.6671185244177096,-0.18776787053464694,0.6291313550633236,0.6315241278901833,0.6315241278901833
2.4000000000000004,0.6233388224975565,0.7251807216378805,0.6861723381427746,0.6696134781569465,0.6207103090639696,0.7282901281292518,0.6910366100396544,0.6812654701415087,-0.2213818721213513,0.6183056817653829,0.6351198563032234,0.6351198563032234
2.45,0.6119386068107894,0.7259109224237061,0.6875419406992943,0.6824191986780413,0.6089864782601327,0.7285411909917289,0.6919413778166466,0.6937380232680471,-0.25402464686030496,0.6068080887100619,0.6376646346042284,0.6376646346042284
2.5,0.5997395625498892,0.7249800511349158,0.6876631782590618,0.693521627403759,0.5964776840827497,0.727116388398347,0.6915794487936971,0.7044467432962606,-0.28554385013351286,0.5946931853563853,0.639170892477382,0.639170892477382
2.5500000000000003,0.586779467029323,0.7223902533009059,0.6865304245682117,0.7028450304868735,0.5832224711951397,0.7240204014657475,0.6899465431689956,0.713317471471597,-0.31579541864667804,0.5820167540520138,0.6396559880238984,0.6396559880238984
2.6,0.573101810598712,0.7181571023694977,0.6841451987755791,0.7103301506022032,0.569264989788182,0.7192714015823339,0.687045605565027,0.7202930624343219,-0.34464532580814744,0.5688355184655568,0.6391421071693961,0.6391421071693961
2.6500000000000004,0.558755933950589,0.7123101428856283,0.6805168842123184,0.7159357074417497,0.5546551379398128,0.7129015786030892,0.682887538384429,0.72533487397053,-0.3719713577216387,0.5552069048504472,0.6376561415326187,0.6376561415326187
2.7,0.543797011186704,0.7048931769990782,0.6756633613165699,0.7196395960722838,0.5394485493851346,0.704957410489393,0.6774918467323522,0.7284239450084544,-0.39766485405858576,0.5411887940775656,0.6352295412967682,0.6352295412967682
2.75,0.5282858628746754,0.6959642561409279,0.6696115162896518,0.7214397176158254,0.5237064106533859,0.6954996358919674,0.6708871552268764,0.7295617955502347,-0.42163235023989115,0.5268392616341507,0.63189813795553,0.63189813795553
