# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=8, N=8, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

Baryon Type, occ, j, l, Energy(MeV)
proton, 1.0, 0.5, 0, -28.755783081054688
proton, 1.0, 1.5, 1, -16.735458374023438
proton, 1.0, 0.5, 1, -9.924964904785156
proton, 0.0, 2.5, 2, -4.276409149169922
neutron, 1.0, 0.5, 0, -32.957794189453125
neutron, 1.0, 1.5, 1, -20.792526245117188
neutron, 1.0, 0.5, 1, -13.841041564941406
neutron, 0.0, 2.5, 2, -8.139778137207031
neutron, 0.0, 0.5, 0, -3.3174877166748047
lambda, 0.0, 0.5, 0, -15.141395568847656
lambda, 0.0, 0.5, 1, -3.369535446166992
lambda, 0.0, 1.5, 1, -3.369535446166992
