# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=8, N=8, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Vll(MeV),Vlp(MeV),Vln(MeV),VNp(MeV),VNn(MeV),Vcoul(MeV)
0.0,-31.982838358790485,0.0,0.0,-63.30605639813624,-62.043848022718706,5.680275832145516
0.05,-31.968808693338495,0.0,0.0,-63.24353602364585,-61.977907400498715,5.679716383309275
0.1,-31.95987655799594,0.0,0.0,-63.13248787091549,-61.87653932537863,5.678036877647202
0.15000000000000002,-31.937386219597407,0.0,0.0,-62.927802315716704,-61.675627111730535,5.675234610468137
0.2,-31.90787019631722,0.0,0.0,-62.648531052980886,-61.40277549382432,5.671305013796895
0.25,-31.87165566407908,0.0,0.0,-62.29717855316354,-61.059485993052036,5.666241828655109
0.30000000000000004,-31.829971697337342,0.0,0.0,-61.87942834852547,-60.65137233590018,5.660037237265763
0.35000000000000003,-31.784083346180566,0.0,0.0,-61.40161197278684,-60.184648290772316,5.652682026760615
0.4,-31.73526127352919,0.0,0.0,-60.87065982484329,-59.6661115183639,5.644165780397341
0.45,-31.6846957296688,0.0,0.0,-60.293873946648375,-59.10292315163441,5.634477091697551
0.5,-31.633417711166842,0.0,0.0,-59.678708753594606,-58.50239270882493,5.623603796628886
0.55,-31.582229037527625,0.0,0.0,-59.032562282326495,-57.87177337272037,5.611533218891427
0.6000000000000001,-31.531645025790766,0.0,0.0,-58.36258740815192,-57.21807703643562,5.598252423504616
0.65,-31.481852394380695,0.0,0.0,-57.67553079442473,-56.54791675948606,5.583748474202032
0.7000000000000001,-31.43268418737358,0.0,0.0,-56.977606115415476,-55.867383059930276,5.568008690597244
0.75,-31.38361263543534,0.0,0.0,-56.27440650283653,-55.18195889496286,5.551020901647755
0.8,-31.333759949583964,0.0,0.0,-55.57085909944507,-54.496476143554275,5.532773692576766
0.8500000000000001,-31.281926080342124,0.0,0.0,-54.87122204655656,-53.81511388590963,5.5132566430733805
0.9,-31.226631505133142,0.0,0.0,-54.179121320146116,-53.14143590702788,5.492460555242207
0.9500000000000001,-31.16617220239243,0.0,0.0,-53.49762182987655,-52.4784618982407,5.470377670377642
1.0,-31.098683221598094,0.0,0.0,-52.829324450518705,-51.82876412793415,5.447001874166119
1.05,-31.02220675234805,0.0,0.0,-52.17647851437525,-51.19457924265511,5.422328890348035
1.1,-30.93476039607731,0.0,0.0,-51.54109803250448,-50.577923612994766,5.396356463183976
1.1500000000000001,-30.83440147821324,0.0,0.0,-50.92506969185676,-49.98070041263999,5.369084529260098
1.2000000000000002,-30.719283693639984,0.0,0.0,-50.33024152108951,-49.404787440112976,5.340515379235322
1.25,-30.587703108820687,0.0,0.0,-49.75848293874219,-48.85209647329974,5.310653810087041
1.3,-30.438131484035445,0.0,0.0,-49.211709519380484,-48.32459751774406,5.279507268266262
1.35,-30.269235954984936,0.0,0.0,-48.691869014357835,-47.82430445556888,5.247085983947345
1.4000000000000001,-30.079885250445088,0.0,0.0,-48.20088870108021,-47.353222086554865,5.21340309627418
1.4500000000000002,-29.869143750477136,0.0,0.0,-47.740587757165784,-46.91325813144189,5.178474769187538
1.5,-29.636255734077157,0.0,0.0,-47.312561795266255,-46.50610717764453,5.142320297091005
1.55,-29.38062304418058,0.0,0.0,-46.918049657448364,-46.133116499255834,5.104962199296643
1.6,-29.10178001672459,0.0,0.0,-46.55779472936176,-45.79514585430263,5.066426301903551
1.6500000000000001,-28.799369772873703,0.0,0.0,-46.23191405061353,-45.49243440957541,5.026741805515911
1.7000000000000002,-28.473125758461464,0.0,0.0,-45.93978806048109,-45.224487556602455,4.9859413370088035
1.75,-28.122861660354335,0.0,0.0,-45.67998172709545,-44.989994357750255,4.944060983401784
1.8,-27.748471531621984,0.0,0.0,-45.45020408241505,-44.786782710083536,4.901140305798667
1.85,-27.349940209846864,0.0,0.0,-45.247308142277596,-44.6118143460033,4.85722233129048
1.9000000000000001,-26.927362130926976,0.0,0.0,-45.06732750372504,-44.461216166940844,4.812353520689555
1.9500000000000002,-26.48096474828488,0.0,0.0,-44.90554055582731,-44.330339095961676,4.766583709960294
2.0,-26.011131354513424,0.0,0.0,-44.756549352415384,-44.2138317681341,4.7199660232354645
2.0500000000000003,-25.518417542236662,0.0,0.0,-44.614358822058186,-44.10571499881852,4.672556755362367
2.1,-25.00355609016262,0.0,0.0,-44.47244379675821,-43.99944474752705,4.624415222026257
2.15,-24.467446762558126,0.0,0.0,-44.32379633647371,-43.887956246641984,4.575603575673087
2.2,-23.91113014182165,0.0,0.0,-44.16095323093039,-43.7636893198323,4.526186585730026
